Id,ModuleName,GlobalId,TableName,ColumnName,Description,Version,ColumnType
92fdee7a-1289-4a4f-a9ae-9aadcfc505c9,Common,1530,Activity,ActivityDescription,,10,System.String
4d4303f1-327c-421b-86d4-20ef9a6db9c9,Common,,Activity,ActivityId,,--dbtable--,Guid
27c94e71-ec74-4ae0-8875-1e0b501d0b5d,Common,,Activity,DataCollectionId,,--dbtable--,Guid?
cf533e67-3e5e-40a5-8e0f-baf562ca8dd2,Common,,Activity,OrganizationId,,--dbtable--,Guid
dd5d5c4b-8b60-4666-8b82-33002df54d8a,Common,1918,Activity,RecordEndDateTime,,10,System.DateTime?
b5164beb-db8a-48a1-a48c-7a48798ec6f4,Common,1917,Activity,RecordStartDateTime,,10,System.DateTime?
f5403749-1c71-46fa-8b87-d065bee20023,Common,,Activity,RecordStatusId,,--dbtable--,Guid?
935ca4dd-857f-4133-b239-c068d15f3818,Common,,Activity,,,--dbtable--,
41249a41-58b2-41a8-b00f-87eefeeddf49,Common,,ActivityRecognition,ActivityRecognitionId,,--dbtable--,Guid
7e7092ef-06f4-4a03-8c7e-ae1405577cc1,Common,,ActivityRecognition,DataCollectionId,,--dbtable--,Guid?
7f8d1ac3-7d9f-4db9-aa5e-0297b25a08bb,Common,,ActivityRecognition,OrganizationPersonRoleId,,--dbtable--,Guid
5174f1d3-c343-4a9a-bb18-b8c1b8f3f596,Common,1918,ActivityRecognition,RecordEndDateTime,,10,System.DateTime?
fe15924a-88f4-46b7-9880-8a2aa475e133,Common,1917,ActivityRecognition,RecordStartDateTime,,10,System.DateTime?
d855814b-45bf-46ae-a48e-a067162fedfe,Common,,ActivityRecognition,RecordStatusId,,--dbtable--,Guid?
0062c1fb-24ea-4573-8704-b0d2e32b8a4b,Common,229,ActivityRecognition,RefActivityRecognitionTypeId,,10,Guid
4f1b472f-6646-4df9-85c3-1fb33841b8cc,Common,,ActivityRecognition,,,--dbtable--,
b4bd1a48-d95a-45e5-8394-577731b89e61,AdultEducation,,AeCourse,AeCourseId,,--dbtable--,Guid
79644efc-3f5a-44f9-a12a-f3e2073ac510,AdultEducation,,AeCourse,DataCollectionId,,--dbtable--,Guid?
a84d08fa-bf2f-4220-9bd9-9405a1cd2836,AdultEducation,,AeCourse,OrganizationId,,--dbtable--,Guid
31f94a71-5cee-416a-ad10-186a70cdb060,AdultEducation,1918,AeCourse,RecordEndDateTime,,10,System.DateTime?
75a4e327-89e7-4d6a-bb16-21cdd9ddc7d9,AdultEducation,1917,AeCourse,RecordStartDateTime,,10,System.DateTime?
86774aa0-0292-4eb6-909a-d211b3258bf1,AdultEducation,,AeCourse,RecordStatusId,,--dbtable--,Guid?
