1|Arts|13371|Arts is specified as the academic content or subject area being evaluated.||1.00||
2|Career and Technical Education|73065|Career and Technical Education is specified as the academic content or subject area being evaluated.||2.00||
3|English|13372|English is specified as the academic content or subject area being evaluated.||3.00||
4|English as a second language (ESL)|00256|English as a second language (ESL) is specified as the academic content or subject area being evaluated.||4.00||
5|Foreign Languages|00546|Foreign Languages is specified as the academic content or subject area being evaluated.||5.00||
6|History Government - US|73088|History Government - US is specified as the academic content or subject area being evaluated.||7.00||
7|History Government - World|73089|History Government - World is specified as the academic content or subject area being evaluated.||8.00||
8|Language arts|00554|Language arts is specified as the academic content or subject area being evaluated.||9.00||
9|Mathematics|01166|Mathematics is specified as the academic content or subject area being evaluated.||12.00||
10|Reading|00560|Reading is specified as the academic content or subject area being evaluated.||14.00||
11|Reading/Language Arts|13373|Reading/Language Arts is specified as the academic content or subject area being evaluated.||16.00||
12|Science|00562|Science is specified as the academic content or subject area being evaluated.||18.00||
13|Science - Life|73086|Science - Life is specified as the academic content or subject area being evaluated.||20.00||
14|Science - Physical|73087|Science - Physical is specified as the academic content or subject area being evaluated.||22.00||
15|Social Sciences (History, Geography, Economics, Civics and Government)|13374|Social Sciences (History, Geography, Economics, Civics and Government) is specified as the academic content or subject area being evaluated.||24.00||
16|Special education|02043|Special education is specified as the academic content or subject area being evaluated.||26.00||
17|Writing|01287|Writing is specified as the academic content or subject area being evaluated.||28.00||
18|Other|09999|Other is specified as the academic content or subject area being evaluated.||30.00||
