1|Advanced Placement|AdvancedPlacement|Advanced Placement is specified as the type of credits or units of value available for the completion of a course in addition to Carnegie Units.||.00||
2|Apprenticeship Credit|ApprenticeshipCredit|Apprenticeship Credit is specified as the type of credits or units of value available for the completion of a course in addition to Carnegie Units.||1.00||
3|Career and Technical Education|CTE|Career and Technical Education is specified as the type of credits or units of value available for the completion of a course in addition to Carnegie Units.||2.00||
4|Dual Credit|DualCredit|Dual Credit is specified as the type of credits or units of value available for the completion of a course in addition to Carnegie Units.||3.00||
5|International Baccalaureate|InternationalBaccalaureate|International Baccalaureate is specified as the type of credits or units of value available for the completion of a course in addition to Carnegie Units.||4.00||
6|Other|Other|Other is specified as the type of credits or units of value available for the completion of a course in addition to Carnegie Units.||5.00||
7|Qualified Admission|QualifiedAdmission|Qualified Admission is specified as the type of credits or units of value available for the completion of a course in addition to Carnegie Units.||10.00||
8|Science, Technology, Engineering and Mathematics|STEM|Science, Technology, Engineering and Mathematics is specified as the type of credits or units of value available for the completion of a course in addition to Carnegie Units.||14.00||
9|Simultaneous CTE and Academic Credit|CTEAndAcademic|Simultaneous CTE and Academic Credit is specified as the type of credits or units of value available for the completion of a course in addition to Carnegie Units.||16.00||
10|State Scholarship|StateScholarship|State Scholarship is specified as the type of credits or units of value available for the completion of a course in addition to Carnegie Units.||18.00||
