1|Art History|ArtHistory|||2.00||
2|Biology|Biology|||4.00||
3|Calculus AB|CalculusAB|||6.00||
4|Calculus BC|CalculusBC|||8.00||
5|Chemistry|Chemistry|||10.00||
6|Computer Science A|ComputerScienceA|||12.00||
7|Computer Science AB|ComputerScienceAB|||14.00||
8|Macroeconomics|Macroeconomics|||16.00||
9|Microeconomics|Microeconomics|||18.00||
10|English Language|EnglishLanguage|||20.00||
11|English Literature|EnglishLiterature|||22.00||
12|Environmental Science|EnvironmentalScience|||24.00||
13|European History|EuropeanHistory|||26.00||
14|French Language|FrenchLanguage|||28.00||
15|French Literature|FrenchLiterature|||30.00||
16|German Language|GermanLanguage|||32.00||
17|Comp Government And Politics|CompGovernmentAndPolitics|||34.00||
18|US Government And Politics|USGovernmentAndPolitics|||36.00||
19|Human Geography|HumanGeography|||38.00||
20|Italian Language And Culture|ItalianLanguageAndCulture|||40.00||
21|Latin Literature|LatinLiterature|||42.00||
22|Latin Vergil|LatinVergil|||44.00||
23|Music Theory|MusicTheory|||46.00||
24|Physics B|PhysicsB|||48.00||
25|Physics C|PhysicsC|||50.00||
26|Psychology|Psychology|||52.00||
27|Spanish Language|SpanishLanguage|||54.00||
28|Spanish Literature|SpanishLiterature|||56.00||
29|Statistics|Statistics|||58.00||
30|Studio Art|StudioArt|||60.00||
31|US History|USHistory|||62.00||
32|World History|WorldHistory|||64.00||
