1|ABE Beginning Literacy|ABEBegLit|ABE Beginning Literacy is specified as the individual's entering skill level, as defined by the National Reporting System for Adult Education and determined by an approved standardized assessment at program intake.||1.00||
2|Beginning Basic Education|ABEBegBasic|Beginning Basic Education is specified as the individual's entering skill level, as defined by the National Reporting System for Adult Education and determined by an approved standardized assessment at program intake.||2.00||
3|Low Intermediate Basic Education|ABEIntLow|Low Intermediate Basic Education is specified as the individual's entering skill level, as defined by the National Reporting System for Adult Education and determined by an approved standardized assessment at program intake.||3.00||
4|High Intermediate Basic Education|ABEIntHigh|High Intermediate Basic Education is specified as the individual's entering skill level, as defined by the National Reporting System for Adult Education and determined by an approved standardized assessment at program intake.||4.00||
5|Adult Secondary Education Low|ASELow|Adult Secondary Education Lowy is specified as the individual's entering skill level, as defined by the National Reporting System for Adult Education and determined by an approved standardized assessment at program intake.||5.00||
6|Adult Secondary Education High|ASEHigh|Adult Secondary Education High is specified as the individual's entering skill level, as defined by the National Reporting System for Adult Education and determined by an approved standardized assessment at program intake.||6.00||
7|Beginning ESL Literacy|ESLBegLit|Beginning ESL Literacy is specified as the individual's entering skill level, as defined by the National Reporting System for Adult Education and determined by an approved standardized assessment at program intake.||7.00||
8|ESL Low Beginning|ESLBegLow|ESL Low Beginning is specified as the individual's entering skill level, as defined by the National Reporting System for Adult Education and determined by an approved standardized assessment at program intake.||8.00||
9|ESL High Beginning|ESLBegHigh|ESL High Beginning is specified as the individual's entering skill level, as defined by the National Reporting System for Adult Education and determined by an approved standardized assessment at program intake.||9.00||
10|ESL Low Intermediate|ESLIntLow|ESL Low Intermediate is specified as the individual's entering skill level, as defined by the National Reporting System for Adult Education and determined by an approved standardized assessment at program intake.||10.00||
11|ESL Intermediate High|ESLIntHigh|ESL Intermediate High is specified as the individual's entering skill level, as defined by the National Reporting System for Adult Education and determined by an approved standardized assessment at program intake.||11.00||
12|ESL Advanced|ESLAdv|ESL Advanced is specified as the individual's entering skill level, as defined by the National Reporting System for Adult Education and determined by an approved standardized assessment at program intake.||12.00||
