1|Allergy to adhesive|417930000|Allergy to adhesive is specified as the type of allergy condition attributed to a person as defined by the SNOWMED Clinical Terms(r) vocabulary.||2.00||
2|Allergy to adhesive bandage|419238009|Allergy to adhesive bandage is specified as the type of allergy condition attributed to a person as defined by the SNOWMED Clinical Terms(r) vocabulary.||4.00||
3|Allergy to alcohol|420140004|Allergy to alcohol is specified as the type of allergy condition attributed to a person as defined by the SNOWMED Clinical Terms(r) vocabulary.||6.00||
4|Allergy to almond oil|418606003|Allergy to almond oil is specified as the type of allergy condition attributed to a person as defined by the SNOWMED Clinical Terms(r) vocabulary.||8.00||
5|Allergy to alpha glucoside inhibitor|439109008|Allergy to alpha glucoside inhibitor is specified as the type of allergy condition attributed to a person as defined by the SNOWMED Clinical Terms(r) vocabulary.||10.00||
6|Allergy to aluminum|402306009|Allergy to aluminum is specified as the type of allergy condition attributed to a person as defined by the SNOWMED Clinical Terms(r) vocabulary.||12.00||
7|Allergy to angiotensin II receptor antagonist|439405005|Allergy to angiotensin II receptor antagonist is specified as the type of allergy condition attributed to a person as defined by the SNOWMED Clinical Terms(r) vocabulary.||14.00||
8|Allergy to animal|232347008|Allergy to animal is specified as the type of allergy condition attributed to a person as defined by the SNOWMED Clinical Terms(r) vocabulary.||16.00||
9|Allergy to animal hair|300911008|Allergy to animal hair is specified as the type of allergy condition attributed to a person as defined by the SNOWMED Clinical Terms(r) vocabulary.||18.00||
10|Allergy to anti-infective agent|91929009|Allergy to anti-infective agent is specified as the type of allergy condition attributed to a person as defined by the SNOWMED Clinical Terms(r) vocabulary.||20.00||
11|Allergy to apple juice|418314004|Allergy to apple juice is specified as the type of allergy condition attributed to a person as defined by the SNOWMED Clinical Terms(r) vocabulary.||22.00||
12|Allergy to aspartame|419180003|Allergy to aspartame is specified as the type of allergy condition attributed to a person as defined by the SNOWMED Clinical Terms(r) vocabulary.||24.00||
13|Allergy to bases and inactive substances|294314002|Allergy to bases and inactive substances is specified as the type of allergy condition attributed to a person as defined by the SNOWMED Clinical Terms(r) vocabulary.||26.00||
14|Allergy to bee venom|424213003|Allergy to bee venom is specified as the type of allergy condition attributed to a person as defined by the SNOWMED Clinical Terms(r) vocabulary.||28.00||
15|Allergy to biocide|402591008|Allergy to biocide is specified as the type of allergy condition attributed to a person as defined by the SNOWMED Clinical Terms(r) vocabulary.||30.00||
16|Allergy to biocide in cosmetic|402590009|Allergy to biocide in cosmetic is specified as the type of allergy condition attributed to a person as defined by the SNOWMED Clinical Terms(r) vocabulary.||32.00||
17|Allergy to caffeine|418344001|Allergy to caffeine is specified as the type of allergy condition attributed to a person as defined by the SNOWMED Clinical Terms(r) vocabulary.||34.00||
18|Allergy to carrot|420080006|Allergy to carrot is specified as the type of allergy condition attributed to a person as defined by the SNOWMED Clinical Terms(r) vocabulary.||36.00||
19|Allergy to cat dander|232346004|Allergy to cat dander is specified as the type of allergy condition attributed to a person as defined by the SNOWMED Clinical Terms(r) vocabulary.||38.00||
20|Allergy to cherry|418051002|Allergy to cherry is specified as the type of allergy condition attributed to a person as defined by the SNOWMED Clinical Terms(r) vocabulary.||40.00||
21|Allergy to chloroprocaine|441931002|Allergy to chloroprocaine is specified as the type of allergy condition attributed to a person as defined by the SNOWMED Clinical Terms(r) vocabulary.||42.00||
22|Allergy to cinnamon|418397007|Allergy to cinnamon is specified as the type of allergy condition attributed to a person as defined by the SNOWMED Clinical Terms(r) vocabulary.||44.00||
23|Allergy to cisatracurium|448438007|Allergy to cisatracurium is specified as the type of allergy condition attributed to a person as defined by the SNOWMED Clinical Terms(r) vocabulary.||46.00||
24|Allergy to citrus fruit|418085001|Allergy to citrus fruit is specified as the type of allergy condition attributed to a person as defined by the SNOWMED Clinical Terms(r) vocabulary.||48.00||
25|Allergy to coconut oil|419814004|Allergy to coconut oil is specified as the type of allergy condition attributed to a person as defined by the SNOWMED Clinical Terms(r) vocabulary.||50.00||
26|Allergy to corn|419573007|Allergy to corn is specified as the type of allergy condition attributed to a person as defined by the SNOWMED Clinical Terms(r) vocabulary.||52.00||
27|Allergy to cosmetic|417982003|Allergy to cosmetic is specified as the type of allergy condition attributed to a person as defined by the SNOWMED Clinical Terms(r) vocabulary.||54.00||
28|Allergy to dairy product|425525006|Allergy to dairy product is specified as the type of allergy condition attributed to a person as defined by the SNOWMED Clinical Terms(r) vocabulary.||56.00||
29|Allergy to dietary mushroom|447961002|Allergy to dietary mushroom is specified as the type of allergy condition attributed to a person as defined by the SNOWMED Clinical Terms(r) vocabulary.||58.00||
30|Allergy to dog dander|419271008|Allergy to dog dander is specified as the type of allergy condition attributed to a person as defined by the SNOWMED Clinical Terms(r) vocabulary.||60.00||
31|Allergy to doxacurium|449324007|Allergy to doxacurium is specified as the type of allergy condition attributed to a person as defined by the SNOWMED Clinical Terms(r) vocabulary.||62.00||
