1|Dictionary|Dictionary|Dictionary is specified as an assessment resource as part of an Assessment Personal Needs Profile.||1.00||
2|Calculator|Calculator|Calculator is specified as an assessment resource as part of an Assessment Personal Needs Profile.||2.00||
3|Note taking|NoteTaking|Note taking is specified as an assessment resource as part of an Assessment Personal Needs Profile.||3.00||
4|Peer interaction|PeerInteraction|Peer interaction is specified as an assessment resource as part of an Assessment Personal Needs Profile.||4.00||
5|Thesaurus|Thesaurus|Thesaurus is specified as an assessment resource as part of an Assessment Personal Needs Profile.||5.00||
6|Abacus|Abacus|Abacus is specified as an assessment resource as part of an Assessment Personal Needs Profile.||6.00||
7|Spell checker|SpellChecker|Spell checker is specified as an assessment resource as part of an Assessment Personal Needs Profile.||7.00||
8|Homophone checker|Homophone|Homophone checker is specified as an assessment resource as part of an Assessment Personal Needs Profile.||8.00||
9|Mind mapping software|MindMapping|Mind mapping software is specified as an assessment resource as part of an Assessment Personal Needs Profile.||9.00||
10|Outline tool|OutlineTool|Outline tool is specified as an assessment resource as part of an Assessment Personal Needs Profile.||10.00||
