1|Long-term suspension - non-special education|13807|Long-term suspension - non-special education is specified as an unusual event occurred during the administration of the assessment. ||1.00||
2|Short-term suspension - non-special education|13808|Short-term suspension - non-special education is specified as an unusual event occurred during the administration of the assessment. ||2.00||
3|Suspension - special education|13809|Suspension - special education is specified as an unusual event occurred during the administration of the assessment. ||3.00||
4|Truancy - paperwork filed|13810|Truancy - paperwork filed is specified as an unusual event occurred during the administration of the assessment. ||4.00||
5|Truancy - no paperwork filed|13811|Truancy - no paperwork filed is specified as an unusual event occurred during the administration of the assessment. ||5.00||
6|Earlier truancy|13812|Earlier truancy is specified as an unusual event occurred during the administration of the assessment. ||6.00||
7|Chronic absences|13813|Chronic absences is specified as an unusual event occurred during the administration of the assessment. ||7.00||
8|Catastrophic illness or accident|13814|Catastrophic illness or accident is specified as an unusual event occurred during the administration of the assessment. ||8.00||
9|Home schooled for assessed subjects|13815|Home schooled for assessed subjects is specified as an unusual event occurred during the administration of the assessment. ||9.00||
10|Student took this grade level assessment last year|13816|Student took this grade level assessment last year is specified as an unusual event occurred during the administration of the assessment. ||10.00||
11|Incarcerated at adult facility|13817|Incarcerated at adult facility is specified as an unusual event occurred during the administration of the assessment. ||11.00||
12|Special treatment center|13818|Special treatment center is specified as an unusual event occurred during the administration of the assessment. ||12.00||
13|Special detention center|13819|Special detention center is specified as an unusual event occurred during the administration of the assessment. ||13.00||
14|Parent refusal|13820|Parent refusal is specified as an unusual event occurred during the administration of the assessment. ||14.00||
15|Cheating|13821|Cheating is specified as an unusual event occurred during the administration of the assessment. ||15.00||
16|Psychological factors of emotional trauma|13822|Psychological factors of emotional trauma is specified as an unusual event occurred during the administration of the assessment. ||16.00||
17|Student not showing adequate effort|13823|Student not showing adequate effort is specified as an unusual event occurred during the administration of the assessment. ||17.00||
18|Homebound|13824|Homebound is specified as an unusual event occurred during the administration of the assessment. ||18.00||
19|Foreign exchange student|13825|Foreign exchange student is specified as an unusual event occurred during the administration of the assessment. ||19.00||
20|Student refusal|13826|Student refusal is specified as an unusual event occurred during the administration of the assessment. ||20.00||
21|Reading passage read to student (IEP)|13827|Reading passage read to student (IEP) is specified as an unusual event occurred during the administration of the assessment. ||21.00||
22|Non-special education student used calculator on non-calculator items|13828|Non-special education student used calculator on non-calculator items is specified as an unusual event occurred during the administration of the assessment. ||22.00||
23|Student used math journal (non-IEP)|13829|Student used math journal (non-IEP) is specified as an unusual event occurred during the administration of the assessment. ||23.00||
24|Other reason for ineligibility|13830|Other reason for ineligibility is specified as an unusual event occurred during the administration of the assessment. ||24.00||
25|Other reason for nonparticipation|13831|Other reason for nonparticipation is specified as an unusual event occurred during the administration of the assessment. ||25.00||
26|Left testing|13832|Left testing is specified as an unusual event occurred during the administration of the assessment. ||26.00||
27|Cross-enrolled|13833|Cross-enrolled is specified as an unusual event occurred during the administration of the assessment. ||27.00||
28|Only for writing|13834|Only for writing is specified as an unusual event occurred during the administration of the assessment. ||28.00||
29|Administration or system failure|13835|Administration or system failure is specified as an unusual event occurred during the administration of the assessment. ||29.00||
30|Teacher cheating or mis-admin|13836|Teacher cheating or mis-admin is specified as an unusual event occurred during the administration of the assessment. ||30.00||
31|Fire alarm|13837|Fire alarm is specified as an unusual event occurred during the administration of the assessment. ||31.00||
32|Other|09999|Other is specified as an unusual event occurred during the administration of the assessment. ||32.00||
