1|Administrative office/room|02986|Administrative office/room is specified as the space designed primarily for conducting administrative and business functions.||1.00||
2|Attendance reception|02747|Attendance reception is specified as the space designed primarily for conducting administrative and business functions.||2.00||
3|Clerical areas|02744|Clerical areas is specified as the space designed primarily for conducting administrative and business functions.||3.00||
4|Conference room|02746|Conference room is specified as the space designed primarily for conducting administrative and business functions.||4.00||
5|General reception|02748|General reception is specified as the space designed primarily for conducting administrative and business functions.||5.00||
6|IT center|75032|IT center is specified as the space designed primarily for conducting administrative and business functions.||6.00||
7|Mail room|02745|Mail room is specified as the space designed primarily for conducting administrative and business functions.||7.00||
8|Principal's office|02742|Principal's office is specified as the space designed primarily for conducting administrative and business functions.||8.00||
9|PTO/PTA spaces|02754|PTO/PTA spaces is specified as the space designed primarily for conducting administrative and business functions.||9.00||
10|Records room/vault|02756|Records room/vault is specified as the space designed primarily for conducting administrative and business functions.||10.00||
11|School bank|02753|School bank is specified as the space designed primarily for conducting administrative and business functions.||11.00||
12|School store|02752|School store is specified as the space designed primarily for conducting administrative and business functions.||12.00||
13|Security/police/probation office|02749|Security/police/probation office is specified as the space designed primarily for conducting administrative and business functions.||13.00||
14|Site-based council office|02755|Site-based council office is specified as the space designed primarily for conducting administrative and business functions.||14.00||
15|Staff lounge|02750|Staff lounge is specified as the space designed primarily for conducting administrative and business functions.||15.00||
16|Staff work room|02751|Staff work room is specified as the space designed primarily for conducting administrative and business functions.||16.00||
17|Storage - instructional equipment|02759|Storage for instructional equipment is specified as the space designed primarily for conducting administrative and business functions.||17.00||
18|Storage - resource materials|02758|Storage for resource materials is specified as the space designed primarily for conducting administrative and business functions.||18.00||
19|Storage - textbook|02757|Storage for textbook is specified as the space designed primarily for conducting administrative and business functions.||19.00||
20|Vice-principal/assistant principal's office|02743|Vice-principal/assistant principal's office is specified as the space designed primarily for conducting administrative and business functions.||20.00||
21|Other|09999|Other is specified as the space designed primarily for conducting administrative and business functions.||99.00||
