1|Daylighting|13653|Practice of using natural light, rather than electric lights, to illuminate a space.||1.00||
2|Delamping|13654|Process of removing lamps from a light fixture--for example, using only 2 fluorescent tubes in a 3-tube fixture--wherever there is extra light.||2.00||
3|HVAC replacement|02848|The replacement of a HVAC system with one that is more energy efficient.||3.00||
4|Installation of energy controls|02847|The installation of energy controls that increase the energy efficiency of a building.||4.00||
5|Installation of solar equipment|14904|Installation of solar equipment is specified as the type of modification to, or replacement of, a piece of equipment or building shell/system that increases energy efficiency.||5.00||
6|Insulation improvements|02850|The replacement or addition of insulation to a building to make it more energy efficient.||6.00||
7|Lighting replacement|02849|The replacement of lighting systems or fixtures with those that are more energy efficient.||7.00||
8|Relamping|14903|The replacement of lamps that are not performing at peak performance.||8.00||
9|Window replacement|02846|The replacement of windows in a building with those that increase energy efficiency.||9.00||
10|Other|09999|Other is specified as the type of modification to, or replacement of, a piece of equipment or building shell/system that increases energy efficiency.||99.00||
