1|Auxiliary gymnasium|02709|Auxiliary gymnasium is specified as the indoor space designed, located, furnished, and equipped for instruction and support of a physical education curriculum and athletic program.||1.00||
2|Dance studio|02712|Dance studio is specified as the indoor space designed, located, furnished, and equipped for instruction and support of a physical education curriculum and athletic program.||2.00||
3|Equipment storage|02716|Equipment storage is specified as the indoor space designed, located, furnished, and equipped for instruction and support of a physical education curriculum and athletic program.||3.00||
4|Gymnasium|02984|Gymnasium is specified as the indoor space designed, located, furnished, and equipped for instruction and support of a physical education curriculum and athletic program.||4.00||
5|Health classroom|02719|Health classroom is specified as the indoor space designed, located, furnished, and equipped for instruction and support of a physical education curriculum and athletic program.||5.00||
6|Locker room|02715|Locker room is specified as the indoor space designed, located, furnished, and equipped for instruction and support of a physical education curriculum and athletic program.||6.00||
7|Multipurpose space|02718|Multipurpose space is specified as the indoor space designed, located, furnished, and equipped for instruction and support of a physical education curriculum and athletic program.||7.00||
8|Playtorium (auditorium/gymnasium)|02720|Playtorium (auditorium/gymnasium) is specified as the indoor space designed, located, furnished, and equipped for instruction and support of a physical education curriculum and athletic program.||8.00||
9|Pool/natatorium|02714|Pool/natatorium is specified as the indoor space designed, located, furnished, and equipped for instruction and support of a physical education curriculum and athletic program.||9.00||
10|Press box|02717|Press box is specified as the indoor space designed, located, furnished, and equipped for instruction and support of a physical education curriculum and athletic program.||10.00||
11|Team room|02713|Team room is specified as the indoor space designed, located, furnished, and equipped for instruction and support of a physical education curriculum and athletic program.||11.00||
12|Weight training room|02710|Weight training room is specified as the indoor space designed, located, furnished, and equipped for instruction and support of a physical education curriculum and athletic program.||12.00||
13|Wrestling room|02711|Wrestling room is specified as the indoor space designed, located, furnished, and equipped for instruction and support of a physical education curriculum and athletic program.||13.00||
14|Other|09999|Other is specified as the indoor space designed, located, furnished, and equipped for instruction and support of a physical education curriculum and athletic program.||99.00||
