1|6-12 school|02608|6-12 school is specified as the physical layout and character of a school facility, as determined by age groups served and educational programs provided.||1.00||
2|Adult education school|02605|Adult education school is specified as the physical layout and character of a school facility, as determined by age groups served and educational programs provided.||2.00||
3|Alternative school|02609|Alternative school is specified as the physical layout and character of a school facility, as determined by age groups served and educational programs provided.||3.00||
4|Career-technology education center|02604|Career-technology education center is specified as the physical layout and character of a school facility, as determined by age groups served and educational programs provided.||4.00||
5|Early childhood center|02599|Early childhood center is specified as the physical layout and character of a school facility, as determined by age groups served and educational programs provided.||5.00||
6|Elementary school|02600|Elementary school is specified as the physical layout and character of a school facility, as determined by age groups served and educational programs provided.||6.00||
7|Junior high school|02602|Junior high school is specified as the physical layout and character of a school facility, as determined by age groups served and educational programs provided.||7.00||
8|K-8 school|02607|K-8 school is specified as the physical layout and character of a school facility, as determined by age groups served and educational programs provided.||8.00||
9|Middle school|02601|Middle school is specified as the physical layout and character of a school facility, as determined by age groups served and educational programs provided.||9.00||
10|Performing arts school|13638|Performing arts school is specified as the physical layout and character of a school facility, as determined by age groups served and educational programs provided.||10.00||
11|Science, technology, engineering and math (STEM) school|13639|Science, technology, engineering and math (STEM) school is specified as the physical layout and character of a school facility, as determined by age groups served and educational programs provided.||11.00||
12|Senior high school|02603|Senior high school is specified as the physical layout and character of a school facility, as determined by age groups served and educational programs provided.||12.00||
13|Special education school|02606|Special education school is specified as the physical layout and character of a school facility, as determined by age groups served and educational programs provided.||13.00||
14|Other|09999|Other is specified as the physical layout and character of a school facility, as determined by age groups served and educational programs provided.||99.00||
