1|Biology laboratory|02661|Biology laboratory is specified as the space designed, located, furnished, and equipped for instruction and experimentation in science.||1.00||
2|Chemical storage room|02668|Chemical storage room is specified as the space designed, located, furnished, and equipped for instruction and experimentation in science.||2.00||
3|Chemistry laboratory|02662|Chemistry laboratory is specified as the space designed, located, furnished, and equipped for instruction and experimentation in science.||3.00||
4|Environmental science laboratory|02663|Environmental science laboratory is specified as the space designed, located, furnished, and equipped for instruction and experimentation in science.||4.00||
5|General science laboratory|02670|General science laboratory is specified as the space designed, located, furnished, and equipped for instruction and experimentation in science.||5.00||
6|Miscellaneous storage room|02669|Miscellaneous storage room is specified as the space designed, located, furnished, and equipped for instruction and experimentation in science.||6.00||
7|Outdoor classroom|02435|Outdoor classroom is specified as the space designed, located, furnished, and equipped for instruction and experimentation in science.||7.00||
8|Physics laboratory|02664|Physics laboratory is specified as the space designed, located, furnished, and equipped for instruction and experimentation in science.||8.00||
9|Planetarium|02665|Planetarium is specified as the space designed, located, furnished, and equipped for instruction and experimentation in science.||9.00||
10|Prep room|02666|Prep room is specified as the space designed, located, furnished, and equipped for instruction and experimentation in science.||10.00||
11|Science lecture room|02667|Science lecture room is specified as the space designed, located, furnished, and equipped for instruction and experimentation in science.||11.00||
12|Other|09999|Other is specified as the space designed, located, furnished, and equipped for instruction and experimentation in science.||99.00||
