1|Administration|02633|A space primarily for conducting overall administrative and business functions of a school, building, program, or service.||1.00||
2|Assembly|02634|A space primarily for formal and informal gathering, where school and community related activities are conducted by students, staff, and the public.||2.00||
3|Athletic|02631|A space primarily or exclusively for physical education and athletic activities, often with specialized floor, walls, size, equipment, lighting, and auxiliary spaces.||3.00||
4|Basic classroom|02628|A space for the activities dealing directly with the interaction between teachers and students that does not require content specialized furniture, fixtures, or equipment.||4.00||
5|Corridors|02635|A space for traveling throughout the building.||5.00||
6|Dormitory room|02639|A space specially designed for residence of students.||6.00||
7|Food service|02638|A space to store food.||7.00||
8|Library/media|02630|A space for reading, reference, and research in various media, including books, periodicals, and electronic communications.||8.00||
9|Multi-purpose Room|02773|A space with a stage and movable chairs designed for assemblies, but also usable for other purposes.||9.00||
10|Operational support|02636|A space to support building systems and components and to operate the physical plant.||10.00||
11|Restroom|03017|A location on campus designated as a bathroom facility.||11.00||
12|Specialty classroom|02629|A space with special elements including furniture, fixtures, equipment, and sometimes size to support instruction in a particular content area.||12.00||
13|Storage|02637|A space to provide safekeeping for materials and supplies.||13.00||
14|Storage - hazardous materials|02788|Storage for hazardous materials is specified as the primary design or purpose of a space, as determined by its physical layout and built-in systems and equipment, regardless of its current use.||14.00||
15|Student support|02632|A space for providing specialized support services to students such as health care or physical therapy.||15.00||
16|Other|09999|Other is specified as the primary design or purpose of a space, as determined by its physical layout and built-in systems and equipment, regardless of its current use.||99.00||
