1|Career center|02738|Career center is specified as the space designed to provide student support services such as administrative, technical (e.g., guidance and health), and logistical support to facilitate and enhance instruction.||1.00||
2|College center|02739|College center is specified as the space designed to provide student support services such as administrative, technical (e.g., guidance and health), and logistical support to facilitate and enhance instruction.||2.00||
3|Guidance/counseling room|02737|Guidance/counseling room is specified as the space designed to provide student support services such as administrative, technical (e.g., guidance and health), and logistical support to facilitate and enhance instruction.||3.00||
4|Health room lavatory|02736|Health room lavatory is specified as the space designed to provide student support services such as administrative, technical (e.g., guidance and health), and logistical support to facilitate and enhance instruction.||4.00||
5|Health suite|02735|Health suite is specified as the space designed to provide student support services such as administrative, technical (e.g., guidance and health), and logistical support to facilitate and enhance instruction.||5.00||
6|In-school suspension room|02733|In-school suspension room is specified as the space designed to provide student support services such as administrative, technical (e.g., guidance and health), and logistical support to facilitate and enhance instruction.||6.00||
7|Internship center|02740|Internship center is specified as the space designed to provide student support services such as administrative, technical (e.g., guidance and health), and logistical support to facilitate and enhance instruction.||7.00||
8|Nurse's station|02734|Nurse's station is specified as the space designed to provide student support services such as administrative, technical (e.g., guidance and health), and logistical support to facilitate and enhance instruction.||8.00||
9|Student club space|02741|Student club space is specified as the space designed to provide student support services such as administrative, technical (e.g., guidance and health), and logistical support to facilitate and enhance instruction.||9.00||
10|Other|09999|Other is specified as the space designed to provide student support services such as administrative, technical (e.g., guidance and health), and logistical support to facilitate and enhance instruction.||99.00||
