1|Air distribution system|02455|The primary means by which air is circulated, freshened, and exhausted.||1.00||
2|Communications system|02456|The types of systems, interface, and management components for carrying voice, video, and data throughout a building.||2.00||
3|Cooling generation system|02454|The type of mechanical systems and building designs used for cooling.||3.00||
4|Electrical system|02452|The type of system that collects and distributes electricity throughout the building or site.||4.00||
5|Fire protection system|02459|The type of system that protects the facility against fire.||5.00||
6|Heating generation system|02453|The method by which the heat is distributed and delivered throughout the room(s) or building.||6.00||
7|Mechanical system|02460|The major manufactured systems required to operated in a building to achieve thermal and air quality comfort.||7.00||
8|Plumbing system|02451|The component of an on-site system for supplying, eliminating, and treating water.||8.00||
9|Security system|02458|The type of system that protects the facility from intrusion.||9.00||
10|Technology wiring|02457|The means through which voice, video, audio, and data information are conveyed.||10.00||
11|Vertical transportation|02461|The type of system used to convey persons or freight between floors.||11.00||
