1|Apprenticeship Certificate|ApprenticeshipCertificate|Credential earned through work-based learning and earn-and-learn models that meet standards and are applicable to industry trades and professions.||1.00||
2|Associate Degree|AssociateDegree|College/university award for students typically completing the first one to two years of post secondary school education.||2.00||
3|Bachelor Degree|BachelorDegree|College/university award for students typically completing three to five years of education where course work and activities advance skills beyond those of the first one to two years of college/university study.||3.00||
4|Badge|Badge|Recognition designed to be displayed as a marker of accomplishment, activity, achievement, skill, interest, association, or identity.||4.00||
5|Certificate|Certificate|Credential that designates requisite knowledge and skills of an occupation, profession, or academic program.||5.00||
6|Certification|Certification|Time-limited, revocable, renewable credential awarded by an authoritative body for demonstrating the knowledge, skills, and abilities to perform specific tasks or an occupation.||6.00||
7|Condition Profile|ConditionProfile|Entity describing a constraint, prerequisite, entry condition, or requirement.||7.00||
8|Credential|Credential|Qualification, achievement, personal or organizational quality, or aspect of an identity typically used to indicate suitability. The ceterms:Credential class is broadly defined to encompass credentials used across domains and communities of practice. The class should be used only when speaking of credentials in general. Subclasses of ceterms:Credential as defined by Credential Engine (or other communities) should be used when referencing specific types of credentials.||8.00||
9|Degree|Degree|Academic credential conferred upon completion of a program or course of study, typically over multiple years at a college or university.||9.00||
10|Digital Badge|DigitalBadge|Badge offered in digital form.||10.00||
11|Diploma|Diploma|Credential awarded by educational institutions for successful completion of a course of study or its equivalent.||11.00||
12|Doctoral Degree|DoctoralDegree|Highest credential award for students who have completed both a bachelor's degree and a master's degree or their equivalent as well as independent research and/or a significant project or paper.||12.00||
13|General Education Development|GeneralEducationDevelopment|Credential awarded by examination that demonstrates that an individual has acquired secondary school-level academic skills.||13.00||
14|Journeyman Certificate|JourneymanCertificate|Credential awarded to skilled workers on successful completion of an apprenticeship in industry trades and professions.||14.00||
15|License|License|Credential awarded by a government agency that constitutes legal authority to do a specific job and/or utilize a specific item, system or infrastructure and are typically earned through some combination of degree or certificate attainment, certifications, assessments, work experience, and/or fees, and are time-limited and must be renewed periodically.||15.00||
16|Master Certificate|MasterCertificate|Credential awarded upon demonstration through apprenticeship of the highest level of skills and performance in industry trades and professions.||16.00||
17|Master Degree|MasterDegree|Credential awarded for a graduate level course of study where course work and activities advance skills beyond those of the bachelor's degree or its equivalent.||17.00||
18|Micro Credential|MicroCredential|Credential that addresses a subset of field-specific knowledge, skills, or competencies; often developmental with relationships to other micro-credentials and field credentials.||18.00||
19|Open Badge|OpenBadge|Visual symbol containing verifiable claims in accordance with the Open Badges specification and delivered digitally.||19.00||
20|Professional Doctorate|ProfessionalDoctorate|Doctoral degree conferred upon completion of a program providing the knowledge and skills for the recognition, credential, or license required for professional practice.||20.00||
21|Quality Assurance Credential|QualityAssuranceCredential|Credential assuring that an organization, program, or awarded credential meets prescribed requirements and may include development and administration of qualifying examinations.||21.00||
22|Research Doctorate|ResearchDoctorate|Doctoral degree conferred for advanced work beyond the master level, including the preparation and defense of a thesis or dissertation based on original research, or the planning and execution of an original project demonstrating substantial artistic or scholarly achievement.||22.00||
23|Secondary School Diploma|SecondarySchoolDiploma|Diploma awarded by secondary education institutions for successful completion of a secondary school program of study.||23.00||
