1|Associate's--Public Rural-serving Small|Assoc/Pub-R-S|Associate's--Public Rural-serving Small is specified as the Carnegie Basic Classification for a postsecondary institution.||1.00||
2|Associate's--Public Rural-serving Medium|Assoc/Pub-R-M|Associate's--Public Rural-serving Medium is specified as the Carnegie Basic Classification for a postsecondary institution.||2.00||
3|Associate's--Public Rural-serving Large|Assoc/Pub-R-L|Associate's--Public Rural-serving Large is specified as the Carnegie Basic Classification for a postsecondary institution.||3.00||
4|Associate's--Public Suburban-serving Single Campus|Assoc/Pub-S-SC|Associate's--Public Suburban-serving Single Campus is specified as the Carnegie Basic Classification for a postsecondary institution.||4.00||
5|Associate's--Public Suburban-serving Multicampus|Assoc/Pub-S-MC|Associate's--Public Suburban-serving Multicampus is specified as the Carnegie Basic Classification for a postsecondary institution.||5.00||
6|Associate's--Public Urban-serving Single Campus|Assoc/Pub-U-SC|Associate's--Public Urban-serving Single Campus is specified as the Carnegie Basic Classification for a postsecondary institution.||6.00||
7|Associate's--Public Urban-serving Multicampus|Assoc/Pub-U-MC|Associate's--Public Urban-serving Multicampus is specified as the Carnegie Basic Classification for a postsecondary institution.||7.00||
8|Associate's--Public Special Use|Assoc/Pub-Spec|Associate's--Public Special Use is specified as the Carnegie Basic Classification for a postsecondary institution.||8.00||
9|Associate's--Private Not-for-profit|Assoc/PrivNFP|Associate's--Private Not-for-profit is specified as the Carnegie Basic Classification for a postsecondary institution.||9.00||
10|Associate's--Private For-profit|Assoc/PrivFP|Associate's--Private For-profit is specified as the Carnegie Basic Classification for a postsecondary institution.||10.00||
11|Associate's--Public 2-year Colleges under 4-year Universities|Assoc/Pub2in4|Associate's--Public 2-year Colleges under 4-year Universities is specified as the Carnegie Basic Classification for a postsecondary institution.||11.00||
12|Associate's--Public 4-year Primarily Associate's|Assoc/Pub4|Associate's--Public 4-year Primarily Associate's is specified as the Carnegie Basic Classification for a postsecondary institution.||12.00||
13|Associate's--Private Not-for-profit 4-year Primarily Associate's|Assoc/PrivNFP4|Associate's--Private Not-for-profit 4-year Primarily Associate's is specified as the Carnegie Basic Classification for a postsecondary institution.||13.00||
14|Associate's--Private For-profit 4-year Primarily Associate's|Assoc/PrivFP4|Associate's--Private For-profit 4-year Primarily Associate's is specified as the Carnegie Basic Classification for a postsecondary institution.||14.00||
15|Research Universities (very high research activity)|RU/VH|Research Universities (very high research activity) is specified as the Carnegie Basic Classification for a postsecondary institution.||15.00||
16|Research Universities (high research activity)|RU/H|Research Universities (high research activity) is specified as the Carnegie Basic Classification for a postsecondary institution.||16.00||
17|Doctoral/Research Universities|DRU|Doctoral/Research Universities is specified as the Carnegie Basic Classification for a postsecondary institution.||17.00||
18|Master's Colleges and Universities (larger programs)|Masters/L|Master's Colleges and Universities (larger programs) is specified as the Carnegie Basic Classification for a postsecondary institution.||18.00||
19|Master's Colleges and Universities (medium programs)|Masters/M|Master's Colleges and Universities (medium programs) is specified as the Carnegie Basic Classification for a postsecondary institution.||19.00||
20|Master's Colleges and Universities (smaller programs)|Masters/S|Master's Colleges and Universities (smaller programs) is specified as the Carnegie Basic Classification for a postsecondary institution.||20.00||
21|Baccalaureate Colleges--Arts & Sciences|Bac/A&S|Baccalaureate Colleges--Arts & Sciences is specified as the Carnegie Basic Classification for a postsecondary institution.||21.00||
22|Baccalaureate Colleges--Diverse Fields|Bac/Diverse|Baccalaureate Colleges--Diverse Fields is specified as the Carnegie Basic Classification for a postsecondary institution.||22.00||
23|Baccalaureate/Associate's Colleges|Bac/Assoc|Baccalaureate/Associate's Colleges is specified as the Carnegie Basic Classification for a postsecondary institution.||23.00||
24|Special Focus Institutions--Theological seminaries, Bible colleges, other faith-related institutions|Spec/Faith|Special Focus Institutions--Theological seminaries, Bible colleges, other faith-related institutions is specified as the Carnegie Basic Classification for a postsecondary institution.||24.00||
25|Special Focus Institutions--Medical schools and medical centers|Spec/Med|Special Focus Institutions--Medical schools and medical centers is specified as the Carnegie Basic Classification for a postsecondary institution.||25.00||
26|Special Focus Institutions--Other health professions schools|Spec/Health|Special Focus Institutions--Other health professions schools is specified as the Carnegie Basic Classification for a postsecondary institution.||26.00||
27|Special Focus Institutions--Schools of engineering|Spec/Engg|Special Focus Institutions--Schools of engineering is specified as the Carnegie Basic Classification for a postsecondary institution.||27.00||
28|Special Focus Institutions--Other technology-related schools|Spec/Tech|Special Focus Institutions--Other technology-related schools is specified as the Carnegie Basic Classification for a postsecondary institution.||28.00||
29|Special Focus Institutions--Schools of business and management|Spec/Bus|Special Focus Institutions--Schools of business and management is specified as the Carnegie Basic Classification for a postsecondary institution.||29.00||
30|Special Focus Institutions--Schools of art, music, and design|Spec/Arts|Special Focus Institutions--Schools of art, music, and design is specified as the Carnegie Basic Classification for a postsecondary institution.||30.00||
31|Special Focus Institutions--Schools of law|Spec/Law|Special Focus Institutions--Schools of law is specified as the Carnegie Basic Classification for a postsecondary institution.||31.00||
32|Special Focus Institutions-Other special-focus institutions|Spec/Other|Special Focus Institutions-Other special-focus institutions is specified as the Carnegie Basic Classification for a postsecondary institution.||32.00||
33|Tribal Colleges|Tribal|Tribal Colleges is specified as the Carnegie Basic Classification for a postsecondary institution.||33.00||
