1|Infant/toddler|IT|||1.00||
2|Preschool|PR|||2.00||
3|Prekindergarten|PK|||3.00||
4|Transitional Kindergarten|TK|||4.00||
5|Kindergarten|KG|||5.00||
6|First grade|01|||6.00||
7|Second grade|02|||7.00||
8|Third grade|03|||8.00||
9|Fourth grade|04|||9.00||
10|Fifth grade|05|||10.00||
11|Sixth grade|06|||11.00||
12|Seventh grade|07|||12.00||
13|Eighth grade|08|||13.00||
14|Ninth grade|09|||14.00||
15|Tenth grade|10|||15.00||
16|Eleventh grade|11|||16.00||
17|Twelfth grade|12|||17.00||
18|Grade 13|13|||18.00||
19|Associate's degree|AS|||19.00||
20|Bachelor's degree|BA|||21.00||
21|Post-baccalaureate certificate|PB|||22.00||
22|Master's degree|MD|||23.00||
23|Post-master's certificate|PM|||24.00||
24|Doctoral degree|DO|||27.00||
25|Post-doctoral certificate|PD|||29.00||
26|Adult Education|AE|||31.00||
27|Professional or technical credential|PT|||33.00||
28|Other|OT|||35.00||
