1|Autism|AUT|Autism is the major or overriding disability condition that best describes the person's impairment.||1.00||
2|Deaf-blindness|DB|Deaf-blindness is the major or overriding disability condition that best describes the person's impairment.||2.00||
3|Developmental delay|DD|Developmental delay is the major or overriding disability condition that best describes the person's impairment.||4.00||
4|Emotional disturbance|EMN|Emotional disturbance is the major or overriding disability condition that best describes the person's impairment.||5.00||
5|Hearing impairment|HI|Hearing impairment is the major or overriding disability condition that best describes the person's impairment.||6.00||
6|Intellectual Disability|ID|Intellectual Disability is the major or overriding disability condition that best describes the person's impairment.||8.00||
7|Multiple disabilities|MD|Multiple disabilities is the major or overriding disability condition that best describes the person's impairment.||9.00||
8|Orthopedic impairment|OI|Orthopedic impairment is the major or overriding disability condition that best describes the person's impairment.||10.00||
9|Other health impairment|OHI|Other health impairment is the major or overriding disability condition that best describes the person's impairment.||11.00||
10|Specific learning disability|SLD|Specific learning disability is the major or overriding disability condition that best describes the person's impairment.||12.00||
11|Speech or language impairment|SLI|Speech or language impairment is the major or overriding disability condition that best describes the person's impairment.||13.00||
12|Traumatic brain injury|TBI|Traumatic brain injury is the major or overriding disability condition that best describes the person's impairment.||14.00||
13|Visual impairment|VI|Visual impairment is the major or overriding disability condition that best describes the person's impairment.||15.00||
