1|No Difference|01|No Difference is the reason for the difference, if any, between the official and actual lengths of a student's disciplinary assignment.||1.00||
2|Term Modified By District|02|Term Modified By District is the reason for the difference, if any, between the official and actual lengths of a student's disciplinary assignment.||2.00||
3|Term Modified By Court Order|03|Term Modified By Court Order is the reason for the difference, if any, between the official and actual lengths of a student's disciplinary assignment.||3.00||
4|Term Modified By Mutual Agreement|04|Term Modified By Mutual Agreement is the reason for the difference, if any, between the official and actual lengths of a student's disciplinary assignment.||4.00||
5|Student Completed Term Requirements Sooner Than Expected|05|Student Completed Term Requirements Sooner Than Expected is the reason for the difference, if any, between the official and actual lengths of a student's disciplinary assignment.||5.00||
6|Student Incarcerated|06|Student Incarcerated is the reason for the difference, if any, between the official and actual lengths of a student's disciplinary assignment.||6.00||
7|Term Decreased Due To Extenuating Health-Related Circumstances|07|Term Decreased Due To Extenuating Health-Related Circumstances is the reason for the difference, if any, between the official and actual lengths of a student's disciplinary assignment.||7.00||
8|Student Withdrew From School|08|Student Withdrew From School is the reason for the difference, if any, between the official and actual lengths of a student's disciplinary assignment.||8.00||
9|School Year Ended|09|School Year Ended is the reason for the difference, if any, between the official and actual lengths of a student's disciplinary assignment.||9.00||
10|Continuation Of Previous Year's Disciplinary Action Assignment|10|Continuation Of Previous Year's Disciplinary Action Assignment is the reason for the difference, if any, between the official and actual lengths of a student's disciplinary assignment.||10.00||
11|Term Modified By Placement Program Due To Student Behavior While In The Placement|11|Term Modified By Placement Program Due To Student Behavior While In The Placement is the reason for the difference, if any, between the official and actual lengths of a student's disciplinary assignment.||11.00||
12|Other|12|Other is the reason for the difference, if any, between the official and actual lengths of a student's disciplinary assignment.||12.00||
