1|Head Start|HeadStart|Head Start is a federal source of funding that contributes to the EL program.||-12.00||
2|Early Head Start|EarlyHeadStart|Early Head Start is a federal source of funding that contributes to the EL program.||-10.00||
3|Office of Child Care-CCDF|CCDF|Office of Child Care-CCDF is a federal source of funding that contributes to the EL program.||-8.00||
4|Early Intevention Part C|EarlyInterventionPartC|Early Intervention Part C is a federal source of funding that contributes to the EL program.||-6.00||
5|Special Education Preschool Part B 619|PartB619|Special Education Preschool Part B 619 is a federal source of funding that contributes to the EL program.||-4.00||
6|Title I|TitleI|Title I is a federal source of funding that contributes to the EL program.||-2.00||
7|Maternal, Infant, and Early Childhood Home Visiting (MIECHV)|MIECHV|Maternal, Infant, and Early Childhood Home Visiting (MIECHV) is a federal source of funding that contributes to the EL program.||.00||
8|Title V Maternal and Child Health (MCH)|TitleVMCH|Title V Maternal and Child Health (MCH) is a federal source of funding that contributes to the EL program.||1.00||
9|Part B 611 Individuals with Disabilities Education Act (IDEA)|PartB611IDEA|Part B 611 Individuals with Disabilities Education Act (IDEA) is a federal source of funding that contributes to the EL program.||3.00||
10|Part D Individuals with Disabilities Education Act (IDEA)|PartDIDEA|Part D Individuals with Disabilities Education Act (IDEA) is a federal source of funding that contributes to the EL program.||5.00||
11|Medicaid|Medicaid|Medicaid is a federal source of funding that contributes to the EL program.||7.00||
12|State Children's Health Insurance Program (SCHIP)|SCHIP|State Children's Health Insurance Program (SCHIP) is a federal source of funding that contributes to the EL program.||9.00||
13|Special Supplemental Nutrition Program for Women Infants and Children (WIC)|WIC|Special Supplemental Nutrition Program for Women Infants and Children (WIC) is a federal source of funding that contributes to the EL program.||11.00||
14| Temporary Assistance for Needy Families (TANF)|TANF| Temporary Assistance for Needy Families (TANF) is a federal source of funding that contributes to the EL program.||13.00||
15|Title V Home Visiting|TitleVHomeVisiting|Title V Home Visiting is a federal source of funding that contributes to the EL program.||15.00||
16|Social Services Block Grant (SSBG)|SSBG|Social Services Block Grant (SSBG) is a federal source of funding that contributes to the EL program.||17.00||
17|Champus/Tricare|ChampusTricare|Champus/Tricare is a federal source of funding that contributes to the EL program.||19.00||
18|Impact Aid|ImpactAid|Impact Aid is a federal source of funding that contributes to the EL program.||21.00||
19|Family Preservation|FamilyPreservation|Family Preservation is a federal source of funding that contributes to the EL program.||23.00||
20|Dropout Prevention|DropoutPrevention|Dropout Prevention is a federal source of funding that contributes to the EL program.||25.00||
21|Juvenile Justice|JuvenileJustice|Juvenile Justice is a federal source of funding that contributes to the EL program.||27.00||
22|Other|Other|A federal source of funding that contributes to the EL program that is not yet a category in CEDS.||29.00||
