1|Applied Behavior Analysis (ABA) Aide|ABAAide|Applied Behavior Analysis (ABA) Aide is the title/role of employment, official status, or rank of the early learning service professional.||1.00||
2|Audiologist|Audiologist|Audiologist is the title/role of employment, official status, or rank of the early learning service professional.||3.00||
3|Board Certified Assistant Behavior Analyst (BCaBA)|BCaBA|Board Certified Assistant Behavior Analyst (BCaBA) is the title/role of employment, official status, or rank of the early learning service professional.||5.00||
4|Board Certified Behavior Analyst (BCBA)|BCBA|Board Certified Behavior Analyst (BCBA) is the title/role of employment, official status, or rank of the early learning service professional.||7.00||
5|Certified Low Vision Specialist|LowVisionSpecialist|Certified Low Vision Specialist is the title/role of employment, official status, or rank of the early learning service professional.||9.00||
6|Certified Occupational Therapy Assistant|OccupationalTherapyAssistant|Certified Occupational Therapy Assistant is the title/role of employment, official status, or rank of the early learning service professional.||11.00||
7|Clinical and Masters Social Worker|SocialWorker|Clinical and Masters Social Worker is the title/role of employment, official status, or rank of the early learning service professional.||13.00||
8|Contract Staff|ContractStaff|Contract Staff is the title/role of employment, official status, or rank of the early learning service professional.||15.00||
9|Home Visitor|HomeVisitor|Home Visitor is the title/role of employment, official status, or rank of the early learning service professional.||17.00||
10|Nurse (LPN, RN, NP)|Nurse|Nurse (LPN, RN, NP) is the title/role of employment, official status, or rank of the early learning service professional.||19.00||
11|Occupational Therapist|OccupationalTherapist|Occupational Therapist is the title/role of employment, official status, or rank of the early learning service professional.||21.00||
12|Optometrist|Optometrist|Optometrist is the title/role of employment, official status, or rank of the early learning service professional.||23.00||
13|Other|Other|Other is the title/role of employment, official status, or rank of the early learning service professional.||25.00||
14|Other Physician|OtherPhysician|Other Physician is the title/role of employment, official status, or rank of the early learning service professional.||27.00||
15|Orientation and Mobility Specialist|OrientationMobilitySpecialist|Orientation and Mobility Specialist is the title/role of employment, official status, or rank of the early learning service professional.||29.00||
16|Pediatrician|Pediatrician|Pediatrician is the title/role of employment, official status, or rank of the early learning service professional.||31.00||
17|Physical Therapist/Physical Therapy Assistant|PhysicalTherapist|Physical Therapist/Physical Therapy Assistant is the title/role of employment, official status, or rank of the early learning service professional.||33.00||
18|Physician Assistant|PhysicianAssistant|Physician Assistant is the title/role of employment, official status, or rank of the early learning service professional.||35.00||
19|Psychologists|Psychologists|Psychologists is the title/role of employment, official status, or rank of the early learning service professional.||37.00||
20|Registered or Certified Dietitian/Nutritionist|RegisteredNutritionist|Registered or Certified Dietitian/Nutritionist is the title/role of employment, official status, or rank of the early learning service professional.||39.00||
21|School Psychologist|SchoolPsychologist|School Psychologist is the title/role of employment, official status, or rank of the early learning service professional.||41.00||
22|Service Coordinator|ServiceCoordinator|Service Coordinator is the title/role of employment, official status, or rank of the early learning service professional.||43.00||
23|Special Education Teacher|SpecialEducationTeacher|Special Education Teacher is the title/role of employment, official status, or rank of the early learning service professional.||45.00||
24|Speech and Language Pathologist|SpeechPathologist|Speech and Language Pathologist is the title/role of employment, official status, or rank of the early learning service professional.||47.00||
25|Teacher of Speech and Language Disabilities|TeacherOfLanguageDisabilities|Teacher of Speech and Language Disabilities is the title/role of employment, official status, or rank of the early learning service professional.||49.00||
26|Teacher of the Blind and Visually Impaired|TeacherOfVisuallyImpaired|Teacher of the Blind and Visually Impaired is the title/role of employment, official status, or rank of the early learning service professional.||51.00||
27|Teacher of the Deaf and Hearing Impaired|TeacherOfHearingImpaired|Teacher of the Deaf and Hearing Impaired is the title/role of employment, official status, or rank of the early learning service professional.||53.00||
28|Vision Rehabilitation Therapist|VisionRehabTherapist|Vision Rehabilitation Therapist is the title/role of employment, official status, or rank of the early learning service professional.||55.00||
