1|Head Start|HeadStart|Head Start is the system outlining activities and procedures based on a set of required services and standards in which the child is enrolled.||1.00||
2|Early Head Start|EarlyHeadStart|Early Head Start is the system outlining activities and procedures based on a set of required services and standards in which the child is enrolled.||3.00||
3|State Preschool|StatePreschool|State Preschool is the system outlining activities and procedures based on a set of required services and standards in which the child is enrolled.||5.00||
4|Public Preschool|PublicPreschool|Public Preschool is the system outlining activities and procedures based on a set of required services and standards in which the child is enrolled.||7.00||
5|Private Preschool|PrivatePreschool|Private Preschool is the system outlining activities and procedures based on a set of required services and standards in which the child is enrolled.||9.00||
6|Early Childhood Special Education (619)|EarlyChildhoodSpecialEducation|Early Childhood Special Education (619) is the system outlining activities and procedures based on a set of required services and standards in which the child is enrolled.||11.00||
7|Home Visiting|HomeVisiting|Home Visiting is the system outlining activities and procedures based on a set of required services and standards in which the child is enrolled.||13.00||
8|Child Care|ChildCare|Child Care is the system outlining activities and procedures based on a set of required services and standards in which the child is enrolled.||15.00||
9|Early Intervention Services Part C|EarlyInterventionPartC|Early Intervention Services Part C is the system outlining activities and procedures based on a set of required services and standards in which the child is enrolled.||17.00||
10|Other|Other|The system outlining activities and procedures based on a set of required services and standards in which the child is enrolled is in a category not yet defined in CEDS.||19.00||
11|None|None|The child is not enrolled in an early childhood program.||21.00||
