1|Other location|Other|Other location is the state or other location in which an individual is found employed.||-2.00||
2|Multiple locations|Multiple|An individual is found employed in Multiple locations.||-1.00||
3|Alaska|AK|Alaska is the state or other location in which an individual is found employed.||1.00||
4|Alabama|AL|Alabama is the state or other location in which an individual is found employed.||2.00||
5|Arkansas|AR|Arkansas is the state or other location in which an individual is found employed.||3.00||
6|American Samoa|AS|American Samoa is the state or other location in which an individual is found employed.||4.00||
7|Arizona|AZ|Arizona is the state or other location in which an individual is found employed.||5.00||
8|California|CA|California is the state or other location in which an individual is found employed.||6.00||
9|Colorado|CO|Colorado is the state or other location in which an individual is found employed.||7.00||
10|Connecticut|CT|Connecticut is the state or other location in which an individual is found employed.||8.00||
11|District of Columbia|DC|District of Columbia is the state or other location in which an individual is found employed.||9.00||
12|Delaware|DE|Delaware is the state or other location in which an individual is found employed.||10.00||
13|Florida|FL|Florida is the state or other location in which an individual is found employed.||11.00||
14|Federated States of Micronesia|FM|Federated States of Micronesia is the state or other location in which an individual is found employed.||12.00||
15|Georgia|GA|Georgia is the state or other location in which an individual is found employed.||13.00||
16|Guam|GU|Guam is the state or other location in which an individual is found employed.||14.00||
17|Hawaii|HI|Hawaii is the state or other location in which an individual is found employed.||15.00||
18|Iowa|IA|Iowa is the state or other location in which an individual is found employed.||16.00||
19|Idaho|ID|Idaho is the state or other location in which an individual is found employed.||17.00||
20|Illinois|IL|Illinois is the state or other location in which an individual is found employed.||18.00||
21|Indiana|IN|Indiana is the state or other location in which an individual is found employed.||19.00||
22|Kansas|KS|Kansas is the state or other location in which an individual is found employed.||20.00||
23|Kentucky|KY|Kentucky is the state or other location in which an individual is found employed.||21.00||
24|Louisiana|LA|Louisiana is the state or other location in which an individual is found employed.||22.00||
25|Massachusetts|MA|Massachusetts is the state or other location in which an individual is found employed.||23.00||
26|Maryland|MD|Maryland is the state or other location in which an individual is found employed.||24.00||
27|Maine|ME|Maine is the state or other location in which an individual is found employed.||25.00||
28|Marshall Islands|MH|Marshall Islands is the state or other location in which an individual is found employed.||26.00||
29|Michigan|MI|Michigan is the state or other location in which an individual is found employed.||27.00||
30|Minnesota|MN|Minnesota is the state or other location in which an individual is found employed.||28.00||
31|Missouri|MO|Missouri is the state or other location in which an individual is found employed.||29.00||
32|Northern Marianas|MP|Northern Marianas is the state or other location in which an individual is found employed.||30.00||
33|Mississippi|MS|Mississippi is the state or other location in which an individual is found employed.||31.00||
34|Montana|MT|Montana is the state or other location in which an individual is found employed.||32.00||
35|North Carolina|NC|North Carolina is the state or other location in which an individual is found employed.||33.00||
36|North Dakota|ND|North Dakota is the state or other location in which an individual is found employed.||34.00||
37|Nebraska|NE|Nebraska is the state or other location in which an individual is found employed.||35.00||
38|New Hampshire|NH|New Hampshire is the state or other location in which an individual is found employed.||36.00||
39|New Jersey|NJ|New Jersey is the state or other location in which an individual is found employed.||37.00||
40|New Mexico|NM|New Mexico is the state or other location in which an individual is found employed.||38.00||
41|Nevada|NV|Nevada is the state or other location in which an individual is found employed.||39.00||
42|New York|NY|New York is the state or other location in which an individual is found employed.||40.00||
43|Ohio|OH|Ohio is the state or other location in which an individual is found employed.||41.00||
44|Oklahoma|OK|Oklahoma is the state or other location in which an individual is found employed.||42.00||
45|Oregon|OR|Oregon is the state or other location in which an individual is found employed.||43.00||
46|Pennsylvania|PA|Pennsylvania is the state or other location in which an individual is found employed.||44.00||
47|Puerto Rico|PR|Puerto Rico is the state or other location in which an individual is found employed.||45.00||
48|Palau|PW|Palau is the state or other location in which an individual is found employed.||46.00||
49|Rhode Island|RI|Rhode Island is the state or other location in which an individual is found employed.||47.00||
50|South Carolina|SC|South Carolina is the state or other location in which an individual is found employed.||48.00||
51|South Dakota|SD|South Dakota is the state or other location in which an individual is found employed.||49.00||
52|Tennessee|TN|Tennessee is the state or other location in which an individual is found employed.||50.00||
53|Texas|TX|Texas is the state or other location in which an individual is found employed.||51.00||
54|Utah|UT|Utah is the state or other location in which an individual is found employed.||52.00||
55|Virginia|VA|Virginia is the state or other location in which an individual is found employed.||53.00||
56|Virgin Islands|VI|Virgin Islands is the state or other location in which an individual is found employed.||54.00||
57|Vermont|VT|Vermont is the state or other location in which an individual is found employed.||55.00||
58|Washington|WA|Washington is the state or other location in which an individual is found employed.||56.00||
59|Wisconsin|WI|Wisconsin is the state or other location in which an individual is found employed.||57.00||
60|West Virginia|WV|West Virginia is the state or other location in which an individual is found employed.||58.00||
61|Wyoming|WY|Wyoming is the state or other location in which an individual is found employed.||59.00||
