1|Transfer from a public school in the same local education agency|01821|Transfer from a public school in the same local education agency is the process by which the student entered a school during a given academic session.||1.00||
2|Transfer from a public school in a different local education agency in the same state|01822|Transfer from a public school in a different local education agency in the same state is the process by which the student entered a school during a given academic session.||2.00||
3|Transfer from a public school in a different state|01823|Transfer from a public school in a different state is the process by which the student entered a school during a given academic session.||3.00||
4|Transfer from a private, non-religiously-affiliated school in the same local education agency|01824|Transfer from a private, non-religiously-affiliated school in the same local education agency is the process by which the student entered a school during a given academic session.||4.00||
5|Transfer from a private, non-religiously-affiliated school in a different LEA in the same state|01825|Transfer from a private, non-religiously-affiliated school in a different LEA in the same state is the process by which the student entered a school during a given academic session.||5.00||
6|Transfer from a private, non-religiously-affiliated school in a different state|01826|Transfer from a private, non-religiously-affiliated school in a different state is the process by which the student entered a school during a given academic session.||6.00||
7|Transfer from a private, religiously-affiliated school in the same local education agency|01827|Transfer from a private, religiously-affiliated school in the same local education agency is the process by which the student entered a school during a given academic session.||7.00||
8|Transfer from a private, religiously-affiliated school in a different LEA in the same state|01828|Transfer from a private, religiously-affiliated school in a different LEA in the same state is the process by which the student entered a school during a given academic session.||8.00||
9|Transfer from a private, religiously-affiliated school in a different state|01829|Transfer from a private, religiously-affiliated school in a different state||9.00||
10|Transfer from a school outside of the country|01830|Transfer from a school outside of the country is the process by which the student entered a school during a given academic session.||10.00||
11|Transfer from an institution|01831|Transfer from an institution is the process by which the student entered a school during a given academic session.||11.00||
12|Transfer from a charter school|01832|Transfer from a charter school is the process by which the student entered a school during a given academic session.||12.00||
13|Transfer from home schooling|01833|Transfer from home schooling is the process by which the student entered a school during a given academic session.||13.00||
14|Re-entry from the same school with no interruption of schooling|01835|Re-entry from the same school with no interruption of schooling is the process by which the student entered a school during a given academic session.||14.00||
15|Re-entry after a voluntary withdrawal|01836|Re-entry after a voluntary withdrawal is the process by which the student entered a school during a given academic session.||15.00||
16|Re-entry after an involuntary withdrawal|01837|Re-entry after an involuntary withdrawal is the process by which the student entered a school during a given academic session.||16.00||
17|Original entry into a United States school|01838|Original entry into a United States school is the process by which the student entered a school during a given academic session.||17.00||
18|Original entry into a United States school from a foreign country with no interruption in schooling|01839|Original entry into a United States school from a foreign country with no interruption in schooling is the process by which the student entered a school during a given academic session.||18.00||
19|Original entry into a United States school from a foreign country with an interruption in schooling|01840|Original entry into a United States school from a foreign country with an interruption in schooling is the process by which the student entered a school during a given academic session.||19.00||
20|Other|09999|The process by which the student entered a school during a given academic session is in a category not yet defined in CEDS.||20.00||
