1|Student is in a different public school in the same local education agency|01907|The student exited from membership in the educational institution and is in a different public school in the same local education agency.||1.00||
2|Transferred to a public school in a different local education agency in the same state|01908|The student exited from membership in the educational institution and transferred to a public school in a different local education agency in the same state.||2.00||
3|Transferred to a public school in a different state|01909|The student exited from membership in the educational institution and transferred to a public school in a different state.||3.00||
4|Transferred to a private, non-religiously-affiliated school within the geographic boundaries as the same local education agency|01910|The student exited from membership in the educational institution and transferred to a private, non-religiously-affiliated school within the geographic boundaries as the same local education agency.||4.00||
5|Transferred to a private, non-religiously-affiliated school within the geographic boundaries of a different LEA in the same state|01911|The student exited from membership in the educational institution and transferred to a private, non-religiously-affiliated school within the geographic boundaries of a different LEA in the same state.||5.00||
6|Transferred to a private, non-religiously-affiliated school in a different state|01912|The student exited from membership in the educational institution and transferred to a private, non-religiously-affiliated school in a different state.||6.00||
7|Transferred to a private, religiously-affiliated school within the geographic boundaries of the same local education agency|01913|The student exited from membership in the educational institution and transferred to a private, religiously-affiliated school within the geographic boundaries of the same local education agency.||7.00||
8|Transferred to a private, religiously-affiliated school within the geographic boundaries of a different LEA in the same state|01914|The student exited from membership in the educational institution and transferred to a private, religiously-affiliated school within the geographic boundaries of a different LEA in the same state.||8.00||
9|Transferred to a private, religiously-affiliated school in a different state|01915|The student exited from membership in the educational institution and transferred to a private, religiously-affiliated school in a different state.||9.00||
10|Transferred to a school outside of the country|01916|The student exited from membership in the educational institution and transferred to a school outside of the country.||10.00||
11|Transferred to an institution|01917|The student exited from membership in the educational institution and transferred to an institution.||11.00||
12|Transferred to home schooling|01918|The student exited from membership in the educational institution and transferred to home schooling.||12.00||
13|Transferred to a charter school in a different LEA in the state|01919|The student exited from membership in the educational institution and transferred to a charter school in a different LEA in the same state.||13.00||
14|Graduated with regular, advanced, International Baccalaureate, or other type of diploma|01921|The student exited from membership in the educational institution and graduated with regular, advanced, International Baccalaureate, or other type of diploma.||14.00||
15|Completed school with other credentials|01922|The student exited from membership in the educational institution and completed school with other credentials.||15.00||
16|Withdrawn due to illness|01924|The student was withdrawn due to illness.||17.00||
17|Expelled or involuntarily withdrawn|01925|The student was expelled or involuntarily withdrawn.||18.00||
18|Reached maximum age for services|01926|The student reached maximum age for services.||19.00||
19|Discontinued schooling|01927|The student exited from membership in the educational institution and discontinued schooling.||20.00||
20|Completed grade 12, but did not meet all graduation requirements|01928|The student exited from membership in the educational institution and completed grade 12, but did not meet all graduation requirements.||21.00||
21|Enrolled in a postsecondary early admission program|01930|The student exited from membership in the educational institution and enrolled in a postsecondary early admission program.||22.00||
22|Not enrolled, unknown status|01931|The student exited from membership in the educational institution and the reason is presently unknown. It is expected this temporary option will be changed when the reason for exit has been determined.||23.00||
23|Student is in the same LEA, receiving education services, but is not assigned to a particular school|03499|The student exited from membership in the educational institution and the student is in the same LEA, receiving education services, but is not assigned to a particular school.||24.00||
24|Not enrolled, eligible to return|03502|The student exited from membership in the education institution for an extended period unrelated to any other existing exit code. It is expected the student will return to this school after the reason for the extended period has completed||27.00||
25|Enrolled in a foreign exchange program|03503|The student exited from membership in the educational institution and is enrolled in a foreign exchange program.||28.00||
26|Exited|03505|The student was exited from membership in the educational institution for administrative or system requirements and will be reenrolled in the same educational institution with a new Enrollment Entry Date.||30.00||
27|Student is in a charter school managed by the same local education agency|03508|The student exited from membership in the educational institution and is in a charter school managed by the same local education agency.||31.00||
28|Completed with a state-recognized equivalency certificate|03509|The student exited from membership in the educational institution and completed with a state-recognized equivalency certificate.||32.00||
29|Other|09999|The circumstances under which the student exited from membership in an educational institution is in a category not yet defined in CEDS.||33.00||
30|Officially withdrew and enrolled in ABE, adult secondary education, or adult ESL program|73060|The student officially withdrew and enrolled in an adult basic education, adult secondary education, or adult English as a Second Language program.||33.00||
31|Officially withdrew and enrolled in a workforce training program|73061|The student officially withdrew and enrolled in a workforce training program.||33.00||
32|Died|73064|The student exited from membership in the educational institution due to death.||34.00||
33|Permanently incapacitated|73065|The student exited from membership in the educational institution and is permanently incapacitated.||35.00||
34|Student is expected to return to the same school|73062|The student is expected to return to the same school at the beginning of the next school year.||36.00||
35|Transferred to a charter school in a different state|73063|The student exited from membership in the educational institution and transferred to a charter school in a different state.||37.00||
