1|Act of violence|02882|Act of violence is specified as the type of abnormal and urgent circumstances that disrupt the normal operation of the building, threaten the health and safety of the occupants, or require an emergency response.||1.00||
2|Bomb threat|02880|Bomb threat is specified as the type of abnormal and urgent circumstances that disrupt the normal operation of the building, threaten the health and safety of the occupants, or require an emergency response.||2.00||
3|Debris flows or mudslide|02888|Debris flows or mudslide is specified as the type of abnormal and urgent circumstances that disrupt the normal operation of the building, threaten the health and safety of the occupants, or require an emergency response.||3.00||
4|Earthquake|02886|Earthquake is specified as the type of abnormal and urgent circumstances that disrupt the normal operation of the building, threaten the health and safety of the occupants, or require an emergency response.||4.00||
5|Emergency shelter need|02895|Emergency shelter need is specified as the type of abnormal and urgent circumstances that disrupt the normal operation of the building, threaten the health and safety of the occupants, or require an emergency response.||5.00||
6|Extreme heat|02892|Extreme heat is specified as the type of abnormal and urgent circumstances that disrupt the normal operation of the building, threaten the health and safety of the occupants, or require an emergency response.||6.00||
7|Fire|02878|Fire is specified as the type of abnormal and urgent circumstances that disrupt the normal operation of the building, threaten the health and safety of the occupants, or require an emergency response.||7.00||
8|Flood|02897|Flood is specified as the type of abnormal and urgent circumstances that disrupt the normal operation of the building, threaten the health and safety of the occupants, or require an emergency response.||8.00||
9|Gas leak|02894|Gas leak is specified as the type of abnormal and urgent circumstances that disrupt the normal operation of the building, threaten the health and safety of the occupants, or require an emergency response.||9.00||
10|Hostage|02883|Hostage is specified as the type of abnormal and urgent circumstances that disrupt the normal operation of the building, threaten the health and safety of the occupants, or require an emergency response.||10.00||
11|Hurricane and tropical storm|02884|Hurricane and tropical storm is specified as the type of abnormal and urgent circumstances that disrupt the normal operation of the building, threaten the health and safety of the occupants, or require an emergency response.||11.00||
12|Major chemical emergency|02893|Major chemical emergency is specified as the type of abnormal and urgent circumstances that disrupt the normal operation of the building, threaten the health and safety of the occupants, or require an emergency response.||12.00||
13|Terrorism|02881|Terrorism is specified as the type of abnormal and urgent circumstances that disrupt the normal operation of the building, threaten the health and safety of the occupants, or require an emergency response.||13.00||
14|Theft|02879|Theft is specified as the type of abnormal and urgent circumstances that disrupt the normal operation of the building, threaten the health and safety of the occupants, or require an emergency response.||14.00||
15|Thunderstorm - severe|02885|Thunderstorm, severe, is specified as the type of abnormal and urgent circumstances that disrupt the normal operation of the building, threaten the health and safety of the occupants, or require an emergency response.||15.00||
16|Tornado|02896|Tornado is specified as the type of abnormal and urgent circumstances that disrupt the normal operation of the building, threaten the health and safety of the occupants, or require an emergency response.||16.00||
17|Tsunami|02889|Tsunami is specified as the type of abnormal and urgent circumstances that disrupt the normal operation of the building, threaten the health and safety of the occupants, or require an emergency response.||17.00||
18|Volcano|02890|Volcano is specified as the type of abnormal and urgent circumstances that disrupt the normal operation of the building, threaten the health and safety of the occupants, or require an emergency response.||18.00||
19|Wildfire - surface, ground, or crown fire|02891|Wildfire, surface, ground, or crown fire, is specified as the type of abnormal and urgent circumstances that disrupt the normal operation of the building, threaten the health and safety of the occupants, or require an emergency response.||19.00||
20|Winter storm|02887|Winter storm is specified as the type of abnormal and urgent circumstances that disrupt the normal operation of the building, threaten the health and safety of the occupants, or require an emergency response.||20.00||
21|Other|09999|Other is specified as the type of abnormal and urgent circumstances that disrupt the normal operation of the building, threaten the health and safety of the occupants, or require an emergency response.||99.00||
