1|Adobe|02430|Adobe is specified as the primary material used for the construction of a building.||1.00||
2|Aluminum|02428|Aluminum is specified as the primary material used for the construction of a building.||2.00||
3|Block|02424|Block is specified as the primary material used for the construction of a building.||3.00||
4|Brick|02422|Brick is specified as the primary material used for the construction of a building.||4.00||
5|Brick veneer|02423|Brick veneer is specified as the primary material used for the construction of a building.||5.00||
6|Concrete|02426|Concrete is specified as the primary material used for the construction of a building.||6.00||
7|Prefabricated|02427|Prefabricated is specified as the primary material used for the construction of a building.||7.00||
8|Steel|02429|Steel is specified as the primary material used for the construction of a building.||8.00||
9|Wood frame|02425|Wood frame is specified as the primary material used for the construction of a building.||9.00||
10|Other|09999|Other is specified as the primary material used for the construction of a building.||99.00||
