1|Asbestos contamination|02579|Asbestos contamination is specified as the area of interest controlled by a federal law, regulation, or standard that pertains to a school facility.||1.00||
2|Child nutrition|75026|Child nutrition is specified as the area of interest controlled by a federal law, regulation, or standard that pertains to a school facility.||2.00||
3|Drinking water safety|02577|Drinking water safety is specified as the area of interest controlled by a federal law, regulation, or standard that pertains to a school facility.||3.00||
4|Facility accessibility and usability for individuals with disabilities|02574|Facility accessibility and usability for individuals with disabilities is specified as the area of interest controlled by a federal law, regulation, or standard that pertains to a school facility.||4.00||
5|Hazardous materials|02580|Hazardous materials is specified as the area of interest controlled by a federal law, regulation, or standard that pertains to a school facility.||5.00||
6|Indoor air quality|02575|Indoor air quality is specified as the area of interest controlled by a federal law, regulation, or standard that pertains to a school facility.||6.00||
7|Integrated pest control|02583|Integrated pest control is specified as the area of interest controlled by a federal law, regulation, or standard that pertains to a school facility.||7.00||
8|Lead contamination|02578|Lead contamination is specified as the area of interest controlled by a federal law, regulation, or standard that pertains to a school facility.||8.00||
9|Material Safety Data Sheet (MSDS)|02582|Material Safety Data Sheet (MSDS) is specified as the area of interest controlled by a federal law, regulation, or standard that pertains to a school facility.||9.00||
10|National School Lunch Act|03264|National School Lunch Act is specified as the area of interest controlled by a federal law, regulation, or standard that pertains to a school facility.||10.00||
11|Radon contamination|02576|Radon contamination is specified as the area of interest controlled by a federal law, regulation, or standard that pertains to a school facility.||11.00||
12|Underground storage tank|02581|Underground storage tanks (USTs) store petroleum or hazardous substances. The greatest potential threat from a leaking UST is contamination of groundwater, the source of drinking water for most Americans.||12.00||
13|Other|09999|Other is specified as the area of interest controlled by a federal law, regulation, or standard that pertains to a school facility.||99.00||
