1|Asbestos|02898|Asbestos is a mineral fiber that has been used commonly in a variety of building construction materials (such as roofing shingles, ceiling and floor tiles, paper products, and asbestos cement products) for insulation and as a fire-retardant.  When asbestos-containing materials are damaged or disturbed by repair, remodeling or demolition activities, microscopic fibers become airborne and can be inhaled into the lungs, where they can cause significant health problems such as asbestosis, lung cancer and mesothelioma.||1.00||
2|Carbon Monoxide|13656|Carbon monoxide is an odorless, colorless and toxic gas. At lower levels of exposure, CO causes mild effects that are often mistaken for the flu. These symptoms include headaches, dizziness, disorientation, nausea and fatigue. At high levels, CO can cause  death.  The effects of CO exposure can vary greatly from person to person depending on age, overall health and the concentration and length of exposure.||2.00||
3|Chlorofluorocarbons|13657|A chlorofluorocarbon (CFC) is an organic compound that contains carbon, chlorine, and fluorine, produced as a volatile derivative of methane and ethane. Many CFCs have been widely used as refrigerants, propellants (in aerosol applications), and solvents.||3.00||
4|Concentrated animal feeding operations (CAFOs)|13658|CAFOs generate manure, litter, and process wastewater that can contain pollutants like nitrogen, phosphorus, metals, and bacteria. Potential concerns include spills, overflows, or runoff that can pollute surface waters and threaten the health of people and animals.||4.00||
5|Criteria Air Pollutants|13659|Criteria air pollutants include the six most common air pollutants in the U.S.: carbon monoxide, lead, nitrogen dioxide, ozone, particulate matter, and sulfur dioxide. These pollutants endanger public health and the environment, are widespread throughout the U.S. and come from a variety of sources.  Criteria air pollutants are responsible for many adverse effects on human health, causing thousands of cases of premature mortality and tens of thousands of emergency room visits annually.  They also cause acid rain and can significantly harm ecosystems and the built environment.||5.00||
6|Drip Lines|13660|Drip lines can carry pollutants from air deposition and roof runoff.||6.00||
7|Ground Level Ozone|13661|Ozone (O3) is a gas composed of three oxygen atoms. It is not usually emitted directly into the air, but at ground-level is created by a chemical reaction between oxides of nitrogen (NOx) and volatile organic compounds (VOC) in the presence of sunlight.||7.00||
8|Hazardous Air Pollutants|13662|Hazardous air pollutants, also known as toxic air pollutants or air toxics, are those pollutants that cause or may cause cancer or other serious health effects, such as reproductive effects or birth defects, or adverse environmental and ecological effects.||8.00||
9|Hazardous, industrial, or municipal waste sites|13663|Fuel or chemical contaminants can appear on land or in groundwater, which has the potential for vapor intrusion.||9.00||
10|Hydrochlorofluorocarbons|13664|Compounds containing hydrogen, fluorine, chlorine, and carbon atoms. Although ozone depleting substances, they are less potent at destroying stratospheric ozone than chlorofluorocarbons (CFCs). They have been introduced as temporary replacements for CFCs and are also greenhouse gases.||10.00||
