1|Athletic field - Natural|02434|Athletic field, natural, is specified as the type of location of the designed and constructed improvements made to a site.||1.00||
2|Drop-off/driveway|02438|Drop-off/driveway is specified as the type of location of the designed and constructed improvements made to a site.||2.00||
3|Fencing enclosures|02526|Fencing enclosures is specified as the type of location of the designed and constructed improvements made to a site.||3.00||
4|Hardscape game area|02437|Hardscape game area is specified as the type of location of the designed and constructed improvements made to a site.||4.00||
5|Hardscape play area|02436|Hardscape play area is specified as the type of location of the designed and constructed improvements made to a site.||5.00||
6|Landscaping|02443|Landscaping is specified as the type of location of the designed and constructed improvements made to a site.||6.00||
7|Outdoor classroom|02435|Outdoor classroom is specified as the type of location of the designed and constructed improvements made to a site.||7.00||
8|Parking area|02524|Parking area is specified as the type of location of the designed and constructed improvements made to a site.||8.00||
9|Playground|02433|A piece of land used for and usually equipped with facilities for recreation especially by children.||9.00||
10|Retaining walls|02440|Retaining walls is specified as the type of location of the designed and constructed improvements made to a site.||10.00||
11|Septic fields|02439|Septic fields is specified as the type of location of the designed and constructed improvements made to a site.||11.00||
12|Sidewalks|02441|Sidewalks is specified as the type of location of the designed and constructed improvements made to a site.||12.00||
13|Stairs and ramps|02442|Stairs and ramps is specified as the type of location of the designed and constructed improvements made to a site.||13.00||
14|Water filtration system|02444|Water filtration system is specified as the type of location of the designed and constructed improvements made to a site.||14.00||
15|Other|09999|Other is specified as the type of location of the designed and constructed improvements made to a site.||99.00||
