1|Athletic field - Artificial|13566|Athletic field, artificial, is specified as the designated constructed outdoor area on a public school site.||1.00||
2|Athletic field - Natural|02434|Athletic field, natural, is specified as the designated constructed outdoor area on a public school site.||2.00||
3|Drop-off/driveway|02438|Drop-off/driveway is specified as the designated constructed outdoor area on a public school site.||3.00||
4|Fencing enclosures|02526|Fencing enclosures is specified as the designated constructed outdoor area on a public school site.||4.00||
5|Hardscape game area|02437|Hardscape game area is specified as the designated constructed outdoor area on a public school site.||5.00||
6|Hardscape play area|02436|Hardscape play area is specified as the designated constructed outdoor area on a public school site.||6.00||
7|Landscaping|02443|Landscaping is specified as the designated constructed outdoor area on a public school site.||7.00||
8|Parking area|02524|Parking area is specified as the designated constructed outdoor area on a public school site.||8.00||
9|Playground|02433|A piece of land used for and usually equipped with facilities for recreation especially by children.||9.00||
10|Retaining walls|02440|Retaining walls is specified as the designated constructed outdoor area on a public school site.||10.00||
11|Semi-permeable game area|13567|Semi-permeable game area is specified as the designated constructed outdoor area on a public school site.||11.00||
12|Septic fields|02439|Septic fields is specified as the designated constructed outdoor area on a public school site.||12.00||
13|Sidewalks|02441|Sidewalks is specified as the designated constructed outdoor area on a public school site.||13.00||
14|Softscape game area|13568|Softscape game area is specified as the designated constructed outdoor area on a public school site.||14.00||
15|Softscape play area|13569|Softscape play area is specified as the designated constructed outdoor area on a public school site.||15.00||
16|Stairs and ramps|02442|Stairs and ramps is specified as the designated constructed outdoor area on a public school site.||16.00||
17|Water filtration system|02444|Water filtration system is specified as the designated constructed outdoor area on a public school site.||17.00||
