1|Cash in Bank|101|All funds on deposit with a bank or savings and loan institution, normally in non-interest-bearing accounts. Interest-bearing accounts, however, that do not meet the definition of an investment (e.g., demand deposits that are interest-bearing) should be recorded herein as well.||1.00||
2|Cash on Hand|102|Currency, coins, checks, postal and express money orders, and bankers' drafts on hand.||2.00||
3|Petty Cash|103|A sum of money set aside to pay small obligations for which the issuance of a formal voucher and check would be too expensive and time consuming.||3.00||
4|Change Cash|104|A sum of money set aside to provide change.||4.00||
5|Cash With Fiscal Agents|105|Deposits with fiscal agents, such as commercial banks, for paying matured bonds and interest.||5.00||
6|Investments|111|Securities and real estate held for producing income in the form of interest, dividends, rentals, or lease payments. Investments should be presented at fair value as of the reporting date. Gains from changes in the fair value of investments are recorded using revenue account 1530. Losses from changes in the fair value of investments are recorded using expenditure object code 930. Alternatively, gains and losses may be netted and recorded in revenue account 1530. The account does not include capital assets used in school district operations. Separate accounts may be maintained for each category of investments.||6.00||
7|Unamortized Premiums on Investments|112|The excess of the amount paid for securities over the face value that has not yet been amortized. Use of this account is restricted to short- term money market investments.||7.00||
8|Unamortized Discounts on Investments (Credit)|113|The excess of the face value of securities over the amount paid for them that has not yet been written off. Use of this account is restricted to short-term investments.||8.00||
9|Interest Receivable on Investments|114|The amount of interest receivable on investments, excluding interest purchased. Interest purchased should be shown in a separate account.||9.00||
10|Accrued Interest on Investments Purchased|115|Interest accrued on investments between the last interest payment date and the date of purchase. The account is carried as an asset until the first interest payment date after the date of purchase.||10.00||
11|Taxes Receivable|121|The uncollected portion of taxes that a school district or government unit has levied and that has become due, including any interest or penalties that may be accrued. Separate accounts may be maintained on the basis of tax roll year, current and delinquent taxes, or both.||11.00||
12|Allowance for Uncollectible Taxes (Credit)|122|The portion of taxes receivable estimated not to be collected. The account is shown on the balance sheet as a deduction from the taxes receivable account to arrive at the net taxes receivable. Separate accounts may be maintained on the basis of tax roll year, delinquent taxes, or both.||12.00||
13|Interfund Loans Receivable|131|An asset account used to record a loan by one fund to another fund in the same governmental unit. It is recommended that separate accounts be maintained for each interfund receivable loan.||13.00||
14|Interfund Accounts Receivable|132|An asset account used to indicate amounts owed to a particular fund by another fund in the same school district for goods sold or services rendered. It is recommended that separate accounts be maintained for each interfund receivable.||14.00||
15|Intergovernmental Accounts Receivable|141|Amounts due to the reporting governmental unit from another governmental unit. These amounts may represent grants-in-aid, shared taxes, taxes collected for the reporting unit by another unit, loans, and charges for services rendered by the reporting unit for another government. It is recommended that separate accounts be maintained for each interagency receivable.||15.00||
16|Loans Receivable|151|Amounts that have been loaned to persons or organizations, including notes taken as security for such loans, where permitted by statutory authority.||16.00||
