1|Pell grants|PellGrants|Pell grants||1.00||
2|Other federal grants|OtherFederalGrants|Other federal grants||2.00||
3|State and local grants|StateAndLocalGrants|State and local grants||3.00||
4|Institutional grants|InstitutionalGrants|Institutional grants||4.00||
5|Private grants|PrivateGrants|Private grants||5.00||
6|Other grants|OtherGrants|Other grants||6.00||
7|Assistantships|Assistantships|Assistantships||7.00||
8|Federal scholarships|FederalScholarships|Federal scholarships||8.00||
9|State and local scholarships|StateAndLocalScholarships|State and local scholarships||9.00||
10|Institutional scholarships|InstitutionalScholarships|Institutional scholarships||10.00||
11|Private scholarships|PrivateScholarships|Private scholarships||11.00||
12|Other scholarships|OtherScholarships|Other scholarships||12.00||
13|Federal subsidized loans|FederalSubsidizedLoans|Federal subsidized loans||13.00||
14|Federal unsubsidized loans|FederalUnsubsidizedLoans|Federal unsubsidized loans||14.00||
15|Private loans|PrivateLoans|Private loans||15.00||
16|State loans|StateLoans|State loans||16.00||
17|Institutional loans|InstitutionalLoans|Institutional loans||17.00||
18|Parent PLUS loans|ParentPLUSLoans|Parent PLUS loans||18.00||
19|Other loans|OtherLoans|Other loans||19.00||
20|State work|StateWork|State work||19.00||
21|Federal work study|FederalWorkStudy|Federal work study||20.00||
22|Other on-campus work|OtherOnCampusWork|Other on-campus work||21.00||
