1|Personal Services-Salaries|100|||1.00||
2|Salaries Paid to Teachers|101|||2.00||
3|Salaries Paid to Instructional Aides or Assistants|102|||3.00||
4|Salaries Paid to Substitute Teachers|103|||4.00||
5|Salaries of Regular Employees|110|||5.00||
6|Salaries of Regular Employees Paid to Teachers|111|||6.00||
7|Salaries of Regular Employees Paid to Instructional Aides and Assistants|112|||7.00||
8|Salaries of Regular Employees Paid to Substitute Teachers|113|||8.00||
9|Salaries of Temporary Employees|120|||9.00||
10|Salaries of Temporary Employees Paid to Teachers|121|||10.00||
11|Salaries of Temporary Employees Paid to Instructional Aides and Assistants|122|||11.00||
12|Salaries of Temporary Employees Paid to Substitute Teachers|123|||12.00||
13|Salaries for Overtime|130|||13.00||
14|Salaries for Overtime Employees Paid to Teachers|131|||14.00||
15|Salaries for Overtime Employees Paid to Instructional Aides and Assistants|132|||15.00||
16|Salaries for Overtime Employees Paid to Substitute Teachers|133|||16.00||
17|Salaries for Sabbatical Leave|140|||17.00||
18|Salaries for Sabbatical Leave Paid to Teachers|141|||18.00||
19|Salaries for Sabbatical Leave Paid to Instructional Aides and Assistants|142|||19.00||
20|Salaries for Sabbatical Leave Paid to Substitute Teachers|143|||20.00||
21|Additional Compensation Such as Bonuses or Incentives|150|||21.00||
22|Additional Compensation Paid to Teachers|151|||22.00||
23|Additional Compensation Paid to Instructional Aides and Assistants|152|||23.00||
24|Additional Compensation Paid to Substitute Teachers|153|||24.00||
25|Personal Services-Employee Benefits|200|||25.00||
26|Employee Benefits for Teachers|201|||26.00||
27|Employee Benefits for Instructional Aides or Assistants|202|||27.00||
28|Employee Benefits for Substitute Teachers|203|||28.00||
29|Group Insurance|210|||29.00||
30|Group Insurance for Teachers|211|||30.00||
31|Group Insurance for Instructional Aides or Assistants|212|||31.00||
32|Group Insurance for Substitute Teachers|213|||32.00||
33|Social Security Contributions|220|||33.00||
34|Social Security Payments for Teachers|221|||34.00||
35|Social Security Payments for Instructional Aides or Assistants|222|||35.00||
36|Social Security Payments for Substitute Teachers|223|||36.00||
37|Retirement Contributions|230|||37.00||
38|Retirement Contributions for Teachers|231|||38.00||
39|Retirement Contributions for Instructional Aides or Assistants|232|||39.00||
40|Retirement Contributions for Substitute Teachers|233|||40.00||
41|On-Behalf Payments|240|||41.00||
42|On-Behalf Payments for Teachers|241|||42.00||
43|On-Behalf Payments for Instructional Aides or Assistants|242|||43.00||
44|On-Behalf Payments for Substitute Teachers|243|||44.00||
45|Tuition Reimbursement|250|||45.00||
46|Tuition Reimbursement for Teachers|251|||46.00||
