1|Infant/toddler|IT|||1|1.00||
2|Preschool|PR|||1|2.00||
3|Prekindergarten|PK|||1|3.00||
4|Transitional Kindergarten|TK|||1|4.00||
5|Kindergarten|KG|||1|5.00||
6|First grade|01|||1|6.00||
7|Second grade|02|||1|7.00||
8|Third grade|03|||1|8.00||
9|Fourth grade|04|||1|9.00||
10|Fifth grade|05|||1|10.00||
11|Sixth grade|06|||1|11.00||
12|Seventh grade|07|||1|12.00||
13|Eighth grade|08|||1|13.00||
14|Ninth grade|09|||1|14.00||
15|Tenth grade|10|||1|15.00||
16|Eleventh grade|11|||1|16.00||
17|Twelfth grade|12|||1|17.00||
18|Grade 13|13|||1|18.00||
19|Postsecondary|PS|||1|19.00||
20|Ungraded|UG|||1|21.00||
21|Adult Education|AE|||1|22.00||
22|Other|Other|||1|22.00||
23|Infant/toddler|IT|||2|1.00||
24|Preschool|PR|||2|2.00||
25|Prekindergarten|PK|||2|3.00||
26|Transitional Kindergarten|TK|||2|4.00||
27|Kindergarten|KG|||2|5.00||
28|First grade|01|||2|6.00||
29|Second grade|02|||2|7.00||
30|Third grade|03|||2|8.00||
31|Fourth grade|04|||2|9.00||
32|Fifth grade|05|||2|10.00||
33|Sixth grade|06|||2|11.00||
34|Seventh grade|07|||2|12.00||
35|Eighth grade|08|||2|13.00||
36|Ninth grade|09|||2|14.00||
37|Tenth grade|10|||2|15.00||
38|Eleventh grade|11|||2|16.00||
39|Twelfth grade|12|||2|17.00||
40|Grade 13|13|||2|18.00||
41|Postsecondary|PS|||2|19.00||
42|Ungraded|UG|||2|21.00||
43|Other|Other|||2|22.00||
44|Infant/toddler|IT|Infant/toddler||3|1.00||
45|Preschool|PR|Preschool||3|2.00||
46|Prekindergarten|PK|Prekindergarten||3|3.00||
47|Transitional Kindergarten|TK|Transitional Kindergarten||3|4.00||
48|Kindergarten|KG|Kindergarten||3|5.00||
49|First grade|01|First grade||3|6.00||
50|Second grade|02|Second grade||3|7.00||
51|Third grade|03|Third grade||3|8.00||
52|Fourth grade|04|Fourth grade||3|9.00||
53|Fifth grade|05|Fifth grade||3|10.00||
54|Sixth grade|06|Sixth grade||3|11.00||
55|Seventh grade|07|Seventh grade||3|12.00||
56|Eighth grade|08|Eighth grade||3|13.00||
57|Ninth grade|09|Ninth grade||3|14.00||
58|Tenth grade|10|Tenth grade||3|15.00||
59|Eleventh grade|11|Eleventh grade||3|16.00||
60|Twelfth grade|12|Twelfth grade||3|17.00||
61|Grade 13|13|Grade 13||3|18.00||
62|Postsecondary|PS|Postsecondary||3|19.00||
63|Ungraded|UG|Ungraded||3|21.00||
64|Other|Other|Other||3|22.00||
65|Out of school|OutOfSchool|Out of school||3|30.00||
66|Infant/toddler|IT|Infant/toddler is a grade offered by the education institution.||4|1.00||
67|Preschool|PR|Preschool is a grade offered by the education institution.||4|2.00||
68|Prekindergarten|PK|Prekindergarten is a grade offered by the education institution.||4|3.00||
