1|Regular diploma|00806|Regular diploma was awarded to the person in recognition of his/her completion of the curricular requirements.||1.00||
2|Endorsed/advanced diploma|00807|Endorsed/advanced diploma was awarded to the person in recognition of his/her completion of the curricular requirements.||2.00||
3|Regents diploma|00808|Regents diploma was awarded to the person in recognition of his/her completion of the curricular requirements.||3.00||
4|International Baccalaureate|00809|International Baccalaureate was awarded to the person in recognition of his/her completion of the curricular requirements.||4.00||
5|Modified diploma|00810|Modified diploma was awarded to the person in recognition of his/her completion of the curricular requirements.||5.00||
6|Other diploma|00811|Other diploma was awarded to the person in recognition of his/her completion of the curricular requirements.||6.00||
7|Alternative credential|00812|Alternative credential was awarded to the person in recognition of his/her completion of the curricular requirements.||7.00||
8|Certificate of attendance|00813|Certificate of attendance was awarded to the person in recognition of his/her completion of the curricular requirements.||8.00||
9|Certificate of completion|00814|Certificate of completion was awarded to the person in recognition of his/her completion of the curricular requirements.||9.00||
10|High school equivalency credential, other than GED|00815|High school equivalency credential, other than GED was awarded to the person in recognition of his/her completion of the curricular requirements.||10.00||
11|General Educational Development (GED) credential|00816|General Educational Development (GED) credential was awarded to the person in recognition of his/her completion of the curricular requirements.||11.00||
12|Post graduate certificate (grade 13)|00818|Post graduate certificate (grade 13) was awarded to the person in recognition of his/her completion of the curricular requirements.||12.00||
13|Career and Technical Education certificate|00819|Career and Technical Education certificate was awarded to the person in recognition of his/her completion of the curricular requirements.||13.00||
