1|Autism|Autism|Autism means a developmental disability significantly affecting verbal and nonverbal communication and social interaction, generally evident before age three, that adversely affects a child's educational performance. Other characteristics often associated with autism are engagement in repetitive activities and stereotyped movements, resistance to environmental change or change in daily routines, and unusual responses to sensory experiences.||||
2|Deaf-blindness|Deafblindness|Deaf-blindness means concomitant hearing and visual impairments, the combination of which causes such severe communication and other developmental and educational needs that they cannot be accommodated in special education programs solely for children with deafness or children with blindness.||||
3|Deafness|Deafness|Deafness means a hearing impairment that is so severe that the child is impaired in processing linguistic information through hearing, with or without amplification, that adversely affects a child's educational performance.||||
4|Developmental delay|Developmentaldelay|Developmental delays are defined by the State and as measured by appropriate diagnostic instruments and procedures in one or more of the following areas: Physical development, cognitive development, communication development, social or emotional development, or adaptive development; and result in the need of special education and related services.||||
5|Emotional disturbance|Emotionaldisturbance|Emotional disturbance means a condition exhibiting one or more of the following characteristics over a long period of time and to a marked degree that adversely affects a child's educational performance: an inability to learn that cannot be explained by intellectual, sensory, or health factors; an inability to build or maintain satisfactory interpersonal relationships with peers and teachers; inappropriate types of behavior or feelings under normal circumstances; a general pervasive mood of unhappiness or depression, or tendency to develop physical symptoms or fears associated with personal or school problems.||||
6|Hearing impairment|Hearingimpairment|Hearing impairment means an impairment in hearing, whether permanent or fluctuating, that adversely affects a child's educational performance but that is not included under the definition of deafness.||||
7|Intellectual disability|Intellectualdisability|Intellectual disability means significantly subaverage general intellectual functioning, existing concurrently with deficits in adaptive behavior and manifested during the developmental period, that adversely affects a child's educational performance.||||
8|Multiple disabilities|Multipledisabilities|Multiple disabilities means concomitant impairments (such as intellectual disability-blindness or intellectual disability-orthopedic impairment), the combination of which causes such severe educational needs that they cannot be accommodated in special education programs solely for one of the impairments. Multiple disabilities does not include deaf-blindness.||||
9|Orthopedic impairment|Orthopedicimpairment|Orthopedic impairment means a severe orthopedic impairment that adversely affects a child's educational performance. The term includes impairments caused by a congenital anomaly, impairments caused by disease (e.g., poliomyelitis, bone tuberculosis), and impairments from other causes (e.g., cerebral palsy, amputations, and fractures or burns that cause contractures).||||
10|Other health impairment|Otherhealthimpairment|Other health impairment means having limited strength, vitality, or alertness, including a heightened alertness to environmental stimuli, that results in limited alertness with respect to the educational environment, that is due to chronic or acute health problems such as asthma, attention deficit disorder or attention deficit hyperactivity disorder, diabetes, epilepsy, a heart condition, hemophilia, lead poisoning, leukemia, nephritis, rheumatic fever, sickle cell anemia, and Tourette syndrome; and diversely affects a child's educational performance.||||
11|Specific learning disability|Specificlearningdisability|Specific learning disability means a disorder in one or more of the basic psychological processes involved in understanding or in using language, spoken or written, that may manifest itself in the imperfect ability to listen, think, speak, read, write, spell, or to do mathematical calculations, including conditions such as perceptual disabilities, brain injury, minimal brain dysfunction, dyslexia, and developmental aphasia.||||
12|Speech or language impairment|Speechlanguageimpairment|Speech or language impairment means a communication disorder, such as stuttering, impaired articulation, a language impairment, or a voice impairment, that adversely affects a child's educational performance.||||
13|Traumatic brain injury|Traumaticbraininjury|Traumatic brain injury means an acquired injury to the brain caused by an external physical force, resulting in total or partial functional disability or psychosocial impairment, or both, that adversely affects a child's educational performance. Traumatic brain injury applies to open or closed head injuries resulting in impairments in one or more areas, such as cognition; language; memory; attention; reasoning; abstract thinking; judgment; problem-solving; sensory, perceptual, and motor abilities; psychosocial behavior; physical functions; information processing; and speech. Traumatic brain injury does not apply to brain injuries that are congenital or degenerative, or to brain injuries induced by birth trauma.||||
14|Visual impairment|Visualimpairment|Visual impairment including blindness means an impairment in vision that, even with correction, adversely affects a child's educational performance. The term includes both partial sight and blindness.||||
