1|Capital Assets: Accumulated depreciation|CapitalAssetsAccumulateddepreciation|Used for reporting all depreciation amounts, including depreciation on assets that may not be included in other capital assets categories.||||
2|Capital Assets: Buildings|CapitalAssetsBuildings|Used for reporting structures built for occupancy or use, such as for classrooms, research, administrative offices, storage, etc. Includes built-in fixtures and equipment that are essentially part of the permanent structure.||||
3|Capital Assets: Construction in progress|CapitalAssetsConstructioninprogress|Used for reporting capital assets under construction and not yet placed into service.||||
4|Capital Assets: Equipment, including art and library collections|CapitalAssetsEquipmentincludingartlibrary|Used for reporting moveable tangible property such as research equipment, vehicles, office equipment, library collections (capitalized amount of books, films, tapes, and other materials maintained in library collections intended for use by patrons), and capitalized art collections.||||
5|Capital Assets: Infrastructure|CapitalAssetsInfrastructure|Used for reporting infrastructure assets such as roads, bridges, drainage systems, water and sewer systems, etc.||||
6|Capital Assets: Intangible assets, net of accumulated amortization|CapitalAssetsIntangibleassetsnetof|Used for reporting all assets consisting of certain nonmaterial rights and benefits of an institution, such as patents, copyrights, trademarks and goodwill. The amount should be reduced by total accumulated amortization.||||
7|Capital Assets: Land and land improvements|CapitalAssetsLandlandimprovements|Used for reporting land and other land improvements, such as athletic fields, golf courses, lakes, etc.||||
8|Capital Assets: Other capital assets|CapitalAssetsOthercapitalassets|||||
9|Deferred inflows of resources|Deferredinflowsofresources|Used for reporting the deferred inflows of resources as recognized in the institution's GPFS and in accordance with GASB 63.||||
10|Deferred outflows of resources|Deferredoutflowsofresources|Used for reporting the deferred outflows of resources as recognized in the institution's GPFS and in accordance with GASB 63.||||
11|Depreciable capital assets, net of depreciation|Depreciablecapitalassetsnetofdepreciation|Used for reporting all capital assets reduced by the total accumulated depreciation, including improvements to land, easements, buildings, building improvements, vehicles, machinery, equipment, infrastructure, and all other tangible or intangible depreciable assets that are used in operations and that have initial useful lives extending beyond a single reporting period. Includes the net amount of all depreciable capital assets after reducing the gross amount for accumulated depreciation.||||
12|Long-term debt|Longtermdebt|Used for reporting the amount for long-term debt arising from debt issuance and lease-purchase agreements.||||
13|Long-term debt, current portion|Longtermdebtcurrentportion|Used for reporting the amount due in the next operating cycle (usually a year) for amounts otherwise reported as long-term or noncurrent debt. Includes only outstanding debt.||||
14|Net assets invested in capital assets, net of related debt|Netassetsinvestedincapitalassetsnetofrelateddebt|Used for reporting the component of net assets represented by the total of all capital assets, reduced by accumulated depreciation, and reduced by the amount of outstanding bonds, mortgages, notes, or other borrowings that are attributable to the acquisition, construction, or improvement of those assets (see indebtedness on capital assets). Some outstanding debt may be reported in both current and noncurrent liabilities.||||
15|Other current liabilities|Othercurrentliabilities|||||
16|Other noncurrent assets|Othernoncurrentassets|||||
17|Other non-current liabilities|Othernoncurrentliabilities|||||
18|Restricted expendable net assets|Restrictedexpendablenetassets|Used for reporting restricted net assets that are expendable. Net assets should be reported as restricted when constraints placed on use are either (a) externally imposed by creditors, grantors, contributors, or laws and regulations of other governments or (b) imposed by law through constitutional provisions or enabling legislation. Expendable net assets are all those not required to be retained in perpetuity.||||
19|Restricted non-expendable net assets|Restrictednonexpendablenetassets|Used for reporting net assets that are restricted and nonexpendable. Net assets should be reported as restricted when constraints placed on use are either (a) externally imposed by creditors, grantors, contributors, or laws and regulations of other governments or (b) imposed by law through constitutional provisions or enabling legislation. Nonexpendable net assets are those that are required to be retained in perpetuity.||||
20|Total current assets|Totalcurrentassets|Used for reporting all current assets, including cash and cash equivalents, investments, accounts and notes receivables (net of allowance for uncollectible amounts), inventories, and all other assets classified as current assets.||||
21|Unrestricted net assets|Unrestrictednetassets|This should be the amount of net assets that do not meet the definition of "restricted" or "invested in capital assets, net of related debt."||||
