1|!X¢o|nmn|||.10||
2|'Are'are|alu|||.20||
3|'Auhelawa|kud|||.30||
4|//Ani|hnh|||.40||
5|//Xegwi|xeg|||.50||
6|/Gwi|gwj|||.60||
7|/Xam|xam|||.70||
8|=/Hua|huc|||.80||
9|||Gana|gnk|||.90||
10|A'ou|aou|||1.00||
11|A-Pucikwar|apq|||1.10||
12|Aari|aiw|||1.20||
13|Aas†x|aas|||1.30||
14|Abadi|kbt|||1.40||
15|Abaga|abg|||1.50||
16|Abai Sungai|abf|||1.60||
17|Abanyom|abm|||1.70||
18|Abar|mij|||1.80||
19|Abau|aau|||1.90||
20|Abaza|abq|||2.00||
21|AbÇ|aba|||2.10||
22|Abellen Ayta|abp|||2.20||
23|Abidji|abi|||2.30||
24|Abinomn|bsa|||2.40||
25|Abipon|axb|||2.50||
26|Abishira|ash|||2.60||
27|Abkhazian|abk|||2.70||
28|Abom|aob|||2.80||
29|Abon|abo|||2.90||
30|Abron|abr|||3.00||
31|Abu|ado|||3.10||
32|Abu' Arapesh|aah|||3.20||
33|Abua|abn|||3.30||
34|Abui|abz|||3.40||
35|Abun|kgr|||3.50||
36|Abure|abu|||3.60||
37|Abureni|mgj|||3.70||
38|Acatepec Me'phaa|tpx|||3.80||
39|Achagua|aca|||3.90||
40|Achang|acn|||4.00||
41|Ache|yif|||4.10||
42|AchÇ|guq|||4.20||
43|Acheron|acz|||4.30||
44|Achi|acr|||4.40||
45|Achinese|ace|||4.50||
46|Achterhoeks|act|||4.60||
47|Achuar-Shiwiar|acu|||4.70||
48|Achumawi|acv|||4.80||
49|Acoli|ach|||4.90||
50|Acro†|acs|||5.00||
51|Adai|xad|||5.10||
52|Adamawa Fulfulde|fub|||5.20||
53|Adamorobe Sign Language|ads|||5.30||
54|Adang|adn|||5.40||
55|Adangbe|adq|||5.50||
56|Adangme|ada|||5.60||
57|Adara|kad|||5.70||
58|Adasen|tiu|||5.80||
59|Adele|ade|||5.90||
60|Adhola|adh|||6.00||
61|Adi|adi|||6.10||
62|Adilabad Gondi|wsg|||6.20||
63|Adioukrou|adj|||6.30||
64|Adithinngithigh|dth|||6.40||
65|Adivasi Oriya|ort|||6.50||
66|Adiwasi Garasia|gas|||6.60||
67|Adnyamathanha|adt|||6.70||
68|Adonara|adr|||6.80||
69|Aduge|adu|||6.90||
70|Adyghe|ady|||7.00||
71|Adzera|adz|||7.10||
72|Aeka|aez|||7.20||
73|Aekyom|awi|||7.30||
74|Aequian|xae|||7.40||
75|Aer|aeq|||7.50||
76|Afade|aal|||7.60||
77|Afar|aar|||7.70||
78|Afghan Sign Language|afg|||7.80||
79|Afitti|aft|||7.90||
80|Afrihili|afh|||8.00||
81|Afrikaans|afr|||8.10||
82|Afro-Seminole Creole|afs|||8.20||
83|Agarabi|agd|||8.30||
84|Agariya|agi|||8.40||
85|Agatu|agc|||8.50||
86|Agavotaguerra|avo|||8.60||
87|Aghem|agq|||8.70||
88|Aghu|ahh|||8.80||
89|Aghu-Tharnggala|gtu|||8.90||
90|Aghul|agx|||9.00||
91|Aghwan|xag|||9.10||
92|Agi|aif|||9.20||
93|Agob|kit|||9.30||
94|Agoi|ibm|||9.40||
95|Aguacateco|agu|||9.50||
96|Aguano|aga|||9.60||
97|Aguaruna|agr|||9.70||
98|Aguna|aug|||9.80||
99|Agusan Manobo|msm|||9.90||
100|Agutaynen|agn|||10.00||
101|Agwagwune|yay|||10.10||
102|AhÖn|ahn|||10.20||
103|Ahanta|aha|||10.30||
104|Aheri Gondi|esg|||10.40||
105|Aheu|thm|||10.50||
106|Ahirani|ahr|||10.60||
107|Ahom|aho|||10.70||
108|Ahtena|aht|||10.80||
