1|Austro-Asiatic languages|aav|||1.00||
2|Afro-Asiatic languages|afa|||2.00||
3|Algonquian languages|alg|||3.00||
4|Atlantic-Congo languages|alv|||4.00||
5|Apache languages|apa|||5.00||
6|Alacalufan languages|aqa|||6.00||
7|Algic languages|aql|||7.00||
8|Artificial languages|art|||8.00||
9|Athapascan languages|ath|||9.00||
10|Arauan languages|auf|||10.00||
11|Australian languages|aus|||11.00||
12|Arawakan languages|awd|||12.00||
13|Uto-Aztecan languages|azc|||13.00||
14|Banda languages|bad|||14.00||
15|Bamileke languages|bai|||15.00||
16|Baltic languages|bat|||16.00||
17|Berber languages|ber|||17.00||
18|Bihari languages|bih|||18.00||
19|Bantu languages|bnt|||19.00||
20|Batak languages|btk|||20.00||
21|Central American Indian languages|cai|||21.00||
22|Caucasian languages|cau|||22.00||
23|Chibchan languages|cba|||23.00||
24|North Caucasian languages|ccn|||24.00||
25|South Caucasian languages|ccs|||25.00||
26|Chadic languages|cdc|||26.00||
27|Caddoan languages|cdd|||27.00||
28|Celtic languages|cel|||28.00||
29|Chamic languages|cmc|||29.00||
30|Creoles and pidgins, Englishƒ?`based|cpe|||30.00||
31|Creoles and pidgins, Frenchƒ?`based|cpf|||31.00||
32|Creoles and pidgins, Portuguese-based|cpp|||32.00||
33|Creoles and pidgins|crp|||33.00||
34|Central Sudanic languages|csu|||34.00||
35|Cushitic languages|cus|||35.00||
36|Land Dayak languages|day|||36.00||
37|Mande languages|dmn|||37.00||
38|Dravidian languages|dra|||38.00||
39|Egyptian languages|egx|||39.00||
40|Eskimo-Aleut languages|esx|||40.00||
41|Basque (family)|euq|||41.00||
42|Finno-Ugrian languages|fiu|||42.00||
43|Formosan languages|fox|||43.00||
44|Germanic languages|gem|||44.00||
45|East Germanic languages|gme|||45.00||
46|North Germanic languages|gmq|||46.00||
47|West Germanic languages|gmw|||47.00||
48|Greek languages|grk|||48.00||
49|Hmong-Mien languages|hmx|||49.00||
50|Hokan languages|hok|||50.00||
51|Armenian (family)|hyx|||51.00||
52|Indo-Iranian languages|iir|||52.00||
53|Ijo languages|ijo|||53.00||
54|Indic languages|inc|||54.00||
55|Indo-European languages|ine|||55.00||
56|Iranian languages|ira|||56.00||
57|Iroquoian languages|iro|||57.00||
58|Italic languages|itc|||58.00||
59|Japanese (family)|jpx|||59.00||
60|Karen languages|kar|||60.00||
61|Kordofanian languages|kdo|||61.00||
62|Khoisan languages|khi|||62.00||
63|Kru languages|kro|||63.00||
64|Austronesian languages|map|||64.00||
65|Mon-Khmer languages|mkh|||65.00||
66|Manobo languages|mno|||66.00||
67|Munda languages|mun|||67.00||
68|Mayan languages|myn|||68.00||
69|Nahuatl languages|nah|||69.00||
70|North American Indian languages|nai|||70.00||
71|Trans-New Guinea languages|ngf|||71.00||
72|Niger-Kordofanian languages|nic|||72.00||
73|Nubian languages|nub|||73.00||
74|Oto-Manguean languages|omq|||74.00||
75|Omotic languages|omv|||75.00||
76|Otomian languages|oto|||76.00||
77|Papuan languages|paa|||77.00||
78|Philippine languages|phi|||78.00||
79|Central Malayo-Polynesian languages|plf|||79.00||
80|Malayo-Polynesian languages|poz|||80.00||
81|Eastern Malayo-Polynesian languages|pqe|||81.00||
82|Western Malayo-Polynesian languages|pqw|||82.00||
83|Prakrit languages|pra|||83.00||
84|Quechuan (family)|qwe|||84.00||
85|Romance languages|roa|||85.00||
86|South American Indian languages|sai|||86.00||
87|Salishan languages|sal|||87.00||
88|Eastern Sudanic languages|sdv|||88.00||
89|Semitic languages|sem|||89.00||
90|sign languages|sgn|||90.00||
91|Siouan languages|sio|||91.00||
92|Sino-Tibetan languages|sit|||92.00||
93|Slavic languages|sla|||93.00||
94|Sami languages|smi|||94.00||
95|Songhai languages|son|||95.00||
96|Albanian languages|sqj|||96.00||
97|Nilo-Saharan languages|ssa|||97.00||
98|Samoyedic languages|syd|||98.00||
99|Tai languages|tai|||99.00||
100|Tibeto-Burman languages|tbq|||100.00||
101|Turkic languages|trk|||101.00||
102|Tupi languages|tup|||102.00||
103|Altaic languages|tut|||103.00||
104|Tungus languages|tuw|||104.00||
105|Uralic languages|urj|||105.00||
106|Wakashan languages|wak|||106.00||
107|Sorbian languages|wen|||107.00||
108|Mongolian languages|xgn|||108.00||
109|Na-Dene languages|xnd|||109.00||
110|Yupik languages|ypk|||110.00||
111|Chinese (family)|zhx|||111.00||
112|East Slavic languages|zle|||112.00||
113|South Slavic languages|zls|||113.00||
114|West Slavic languages|zlw|||114.00||
115|Zande languages|znd|||115.00||
