1|Diphtheria|Diphtheria|||1.00||
2|Haemophilus Influenzae|HaemophilusInfluenzae|||2.00||
3|Hepatitis A|HepatitisA|||3.00||
4|Hepatitis B|HepatitisB|||5.00||
5|Inactivated Poliovirus|InactivatedPoliovirus|||6.00||
6|Influenza|Influenza|||7.00||
7|Meningococcal|Meningococcal|||8.00||
8|Mumps|Mumps|||9.00||
9|Pertussis (Whooping Cough)|Pertussis|||11.00||
10|Pneumococcal|Pneumococcal|||12.00||
11|Rh. Immune Globulin|RhImmuneGlobulin|||14.00||
12|Rotavirus|Rotavirus|||15.00||
13|Rubella (German measles)|Rubella|||16.00||
14|Rubeola (Measles)|Rubeola|||17.00||
15|Smallpox|Smallpox|||19.00||
16|Tetanus|Tetanus|||21.00||
17|Tuberculosis (BCG)|Tuberculosis|||23.00||
18|Varicella|Varicella|||35.00||
19|Parent opt-out|ParentOptOut|||99.00||
