1|Administrator|03041|||2.00||
2|All Other Support Staff|13342|||4.00||
3|Athletic coach|04723|||6.00||
4|Board of education/school board/board of trustees member|04708|||8.00||
5|Bus driver|04864|||10.00||
6|Cook/food preparer (food service staff)|04877|||12.00||
7|Counselor|04725|||14.00||
8|Custodian|04878|||16.00||
9|Dean/dean of instructions/dean of students/dean of boys/dean of girls/dean of student activities|04710|||18.00||
10|Deputy/associate/assistant superintendent/ commissioner|04712|||20.00||
11|Deputy/associate/vice /assistant principal|04711|||22.00||
12|Former student|03168|||24.00||
13|Law enforcement officer|03054|||26.00||
14|Librarians/Media Specialist|13335|||28.00||
15|Municipal law enforcement officer assigned to the school|03055|||30.00||
16|Municipal law enforcement officer not assigned to the school|03056|||32.00||
17|Nonschool personnel|03059|||34.00||
18|Other adult|03061|||36.00||
19|Other nonstudent youth|03062|||38.00||
20|Other Professional Staff|13403|||40.00||
21|Paraprofessionals/Instructional Aide|13333|||42.00||
22|Parent/guardian|00850|||44.00||
23|Principal/headmaster/headmistress/head of school|04718|||46.00||
24|Professional educational staff|03035|||48.00||
25|Registered nurse|04783|||50.00||
26|Representative of visiting school|03060|||52.00||
27|School Administrative Support Staff|13340|||54.00||
28|School Counselor|13334|||56.00||
29|School district police officer assigned to the school|03057|||58.00||
30|School district police officer not assigned to the school|03058|||60.00||
31|Security guard|04885|||62.00||
32|Social worker|04788|||64.00||
33|Staff member|03422|||66.00||
34|Student|00126|||68.00||
35|Student activity advisor/non athletic coach|04730|||70.00||
36|Student enrolled in another school|03033|||72.00||
37|Student enrolled in the school where the incident occurred|03032|||74.00||
38|Student expelled or involuntarily withdrawn|03034|||76.00||
39|Substitute teacher|13782|||78.00||
40|Superintendent/commissioner|04721|||80.00||
41|Teacher|04732|||82.00||
42|Unknown|09997|||84.00||
