1|After classes|13765|The incident took place After classes.||1.00||
2|Before classes|13761|The incident took place Before classes.||2.00||
3|During class|13762|The incident took place During class.||3.00||
4|During lunch/recess|13764|The incident took place During lunch/recess.||4.00||
5|During passing|13763|The incident took place During passing.||5.00||
6|Nonschool-sponsored activity|13770|The incident took place during a Nonschool-sponsored activity.||6.00||
7|On the way from school|13768|The incident took place On the way from school.||7.00||
8|On the way to school|13767|The incident took place On the way to school.||8.00||
9|Other time during school hours|13766|The incident took place during an Other time during school hours.||9.00||
10|Other time outside school hours|13771|The incident took place during an Other time outside school hours.||10.00||
11|School-sponsored activity|13769|The incident took place during a School-sponsored activity.||11.00||
12|Unknown|13772|The time description of when the incident took place is Unknown.||12.00||
