1|Assistive technology services|01|Assistive technology services is the type of service that adapts the curriculum, materials, or instruction for students identified as needing special education because of a delay or disability.
||2.00||
2|Audiology services|02|Audiology services is the type of service that adapts the curriculum, materials, or instruction for students identified as needing special education because of a delay or disability.||4.00||
3|Family training/counseling services|03|Family training/counseling services is the type of service that adapts the curriculum, materials, or instruction for students identified as needing special education because of a delay or disability.||6.00||
4|Health services|04|Health services is the type of service that adapts the curriculum, materials, or instruction for students identified as needing special education because of a delay or disability.||8.00||
5|Medical services|05|Medical services is the type of service that adapts the curriculum, materials, or instruction for students identified as needing special education because of a delay or disability.||10.00||
6|Nursing services|06|Nursing services is the type of service that adapts the curriculum, materials, or instruction for students identified as needing special education because of a delay or disability.||12.00||
7|Nutrition services|07|Nutrition services is the type of service that adapts the curriculum, materials, or instruction for students identified as needing special education because of a delay or disability.||14.00||
8|Occupational therapy|08|Occupational therapy is the type of service that adapts the curriculum, materials, or instruction for students identified as needing special education because of a delay or disability.||16.00||
9|Physical therapy|09|Physical therapy is the type of service that adapts the curriculum, materials, or instruction for students identified as needing special education because of a delay or disability.||18.00||
10|Psychological services|10|Psychological services is the type of service that adapts the curriculum, materials, or instruction for students identified as needing special education because of a delay or disability.||20.00||
11|Sign language and cued language services|11|Sign language and cued language services is the type of service that adapts the curriculum, materials, or instruction for students identified as needing special education because of a delay or disability.||22.00||
12|Service coordination|12|Service coordination is the type of service that adapts the curriculum, materials, or instruction for students identified as needing special education because of a delay or disability.||24.00||
13|Social work services|13|Social work services is the type of service that adapts the curriculum, materials, or instruction for students identified as needing special education because of a delay or disability.||26.00||
14|Special instruction|14|Special instruction is the type of service that adapts the curriculum, materials, or instruction for students identified as needing special education because of a delay or disability.||28.00||
15|Speech-language pathology services|15|Speech-language pathology services is the type of service that adapts the curriculum, materials, or instruction for students identified as needing special education because of a delay or disability.||30.00||
16|Vision services|16|Vision services is the type of service that adapts the curriculum, materials, or instruction for students identified as needing special education because of a delay or disability.||32.00||
17|Other|99|A type of service other than what is currently defined in CEDS that adapts the curriculum, materials, or instruction for students identified as needing special education because of a delay or disability.||99.00||
