1|Abkhazian|abk|||1.00||
2|Achinese|ace|||2.00||
3|Acoli|ach|||3.00||
4|Adangme|ada|||4.00||
5|Adyghe; Adygei|ady|||5.00||
6|Afar|aar|||6.00||
7|Afrihili|afh|||7.00||
8|Afrikaans|afr|||8.00||
9|Afro-Asiatic languages|afa|||9.00||
10|Ainu|ain|||10.00||
11|Akan|aka|||11.00||
12|Akkadian|akk|||12.00||
13|Albanian|alb|||13.00||
14|Aleut|ale|||14.00||
15|Algonquian languages|alg|||15.00||
16|Altaic languages|tut|||16.00||
17|Amharic|amh|||17.00||
18|Angika|anp|||18.00||
19|Apache languages|apa|||19.00||
20|Arabic|ara|||20.00||
21|Aragonese|arg|||21.00||
22|Arapaho|arp|||22.00||
23|Arawak|arw|||23.00||
24|Armenian|arm|||24.00||
25|Aromanian; Arumanian; Macedo-Romanian|rup|||25.00||
26|Artificial languages|art|||26.00||
27|Assamese|asm|||27.00||
28|Asturian; Bable; Leonese; Asturleonese|ast|||28.00||
29|Athapascan languages|ath|||29.00||
30|Australian languages|aus|||30.00||
31|Austronesian languages|map|||31.00||
32|Avaric|ava|||32.00||
33|Avestan|ave|||33.00||
34|Awadhi|awa|||34.00||
35|Aymara|aym|||35.00||
36|Azerbaijani|aze|||36.00||
37|Balinese|ban|||37.00||
38|Baltic languages|bat|||38.00||
39|Baluchi|bal|||39.00||
40|Bambara|bam|||40.00||
41|Bamileke languages|bai|||41.00||
42|Banda languages|bad|||42.00||
43|Bantu languages|bnt|||43.00||
44|Basa|bas|||44.00||
45|Bashkir|bak|||45.00||
46|Basque|baq|||46.00||
47|Batak languages|btk|||47.00||
48|Beja; Bedawiyet|bej|||48.00||
49|Belarusian|bel|||49.00||
50|Bemba|bem|||50.00||
51|Bengali|ben|||51.00||
52|Berber languages|ber|||52.00||
53|Bhojpuri|bho|||53.00||
54|Bihari languages|bih|||54.00||
55|Bikol|bik|||55.00||
56|Bini; Edo|bin|||56.00||
57|Bislama|bis|||57.00||
58|Blin; Bilin|byn|||58.00||
59|Blissymbols; Blissymbolics; Bliss|zbl|||59.00||
60|BokmÜl, Norwegian; Norwegian BokmÜl|nob|||60.00||
61|Bosnian|bos|||61.00||
62|Braj|bra|||62.00||
63|Breton|bre|||63.00||
64|Buginese|bug|||64.00||
65|Bulgarian|bul|||65.00||
66|Buriat|bua|||66.00||
67|Burmese|bur|||67.00||
68|Caddo|cad|||68.00||
69|Catalan; Valencian|cat|||69.00||
70|Caucasian languages|cau|||70.00||
71|Cebuano|ceb|||71.00||
72|Celtic languages|cel|||72.00||
73|Central American Indian languages|cai|||73.00||
74|Central Khmer|khm|||74.00||
75|Chagatai|chg|||75.00||
76|Chamic languages|cmc|||76.00||
77|Chamorro|cha|||77.00||
78|Chechen|che|||78.00||
79|Cherokee|chr|||79.00||
80|Cheyenne|chy|||80.00||
81|Chibcha|chb|||81.00||
