1|Alternative Text|alternativeText|Accessible content features included with the learning resource include Alternative Text.||2.00||
2|Audio Description|audioDescription|Accessible content features included with the learning resource include Audio Description.||4.00||
3|Braille|braille|Accessible content features included with the learning resource include Braille.||6.00||
4|Captions|captions|Accessible content features included with the learning resource include Captions.||8.00||
5|Chem M L|ChemML|Accessible content features included with the learning resource include Chem M L.||10.00||
6|Described Math|describedMath|Accessible content features included with the learning resource include Described Math.||12.00||
7|Display Transformability|displayTransformability|Accessible content features included with the learning resource include Display Transformability.||14.00||
8|Haptic|haptic|Accessible content features included with the learning resource include Haptic.||16.00||
9|High Contrast|highContrast|Accessible content features included with the learning resource include High Contrast.||18.00||
10|Large Print|largePrint|Accessible content features included with the learning resource include Large Print.||20.00||
11|Latex|latex|Accessible content features included with the learning resource include Latex.||22.00||
12|Long Description|longDescription|Accessible content features included with the learning resource include Long Description.||24.00||
13|Math M L|MathML|Accessible content features included with the learning resource include Math M L.||26.00||
14|Music Braille|musicBraille|Accessible content features included with the learning resource include Music Braille.||28.00||
15|Nemeth Braille|nemethBraille|Accessible content features included with the learning resource include Nemeth Braille.||30.00||
16|Sign Language|signLanguage|Accessible content features included with the learning resource include Sign Language.||32.00||
17|Structural Navigation|structuralNavigation|Accessible content features included with the learning resource include Structural Navigation.||34.00||
18|Tactile Graphics|tactileGraphics|Accessible content features included with the learning resource include Tactile Graphics.||36.00||
19|Tactile Object|tactileObject|Accessible content features included with the learning resource include Tactile Object.||37.00||
20|Transcript|transcript|Accessible content features included with the learning resource include Transcript.||38.00||
