1|Audio CD|AudioCD|Audio CD is a type of physical media on which the Learning Resource is delivered or available.||1.00||
2|Audiotape|Audiotape|Audiotape is a type of physical media on which the Learning Resource is delivered or available.||2.00||
3|Calculator|Calculator|Calculator is a type of physical media on which the Learning Resource is delivered or available.||3.00||
4|CD-I|CD-I|CD-I is a type of physical media on which the Learning Resource is delivered or available.||4.00||
5|CD-ROM|CD-ROM|CD-ROM is a type of physical media on which the Learning Resource is delivered or available.||5.00||
6|Diskette|Diskette|Diskette is a type of physical media on which the Learning Resource is delivered or available.||6.00||
7|Duplication Master|DuplicationMaster|Duplication Master is a type of physical media on which the Learning Resource is delivered or available.||7.00||
8|DVD/ Blu-ray|DVD|DVD/ Blu-ray is a type of physical media on which the Learning Resource is delivered or available.||8.00||
9|E-Mail|E-Mail|E-Mail is a type of physical media on which the Learning Resource is delivered or available.||9.00||
10|Electronic Slides|ElectronicSlides|Electronic Slides is a type of physical media on which the Learning Resource is delivered or available.||10.00||
11|Field Trip|FieldTrip|Field Trip is a type of physical media on which the Learning Resource is delivered or available.||11.00||
12|Filmstrip|Filmstrip|Filmstrip is a type of physical media on which the Learning Resource is delivered or available.||12.00||
13|Flash|Flash|Flash is a type of physical media on which the Learning Resource is delivered or available.||13.00||
14|Image|Image|Image is a type of physical media on which the Learning Resource is delivered or available.||14.00||
15|In-Person/Speaker|In-Person|In-Person/Speaker is a type of physical media on which the Learning Resource is delivered or available.||15.00||
16|Interactive Whiteboard|InteractiveWhiteboard|Interactive Whiteboard is a type of physical media on which the Learning Resource is delivered or available.||16.00||
17|Manipulative|Manipulative|Manipulative is a type of physical media on which the Learning Resource is delivered or available.||17.00||
18|MBL (Microcomputer Based)|MBL|MBL (Microcomputer Based) is a type of physical media on which the Learning Resource is delivered or available.||18.00||
19|Microfiche|Microfiche|Microfiche is a type of physical media on which the Learning Resource is delivered or available.||19.00||
20|Overhead|Overhead|Overhead is a type of physical media on which the Learning Resource is delivered or available.||20.00||
21|Pamphlet|Pamphlet|Pamphlet is a type of physical media on which the Learning Resource is delivered or available.||21.00||
22|PDF|PDF|PDF is a type of physical media on which the Learning Resource is delivered or available.||22.00||
23|Person-to-Person|Person-to-Person|Person-to-Person is a type of physical media on which the Learning Resource is delivered or available.||23.00||
24|Phonograph Record|PhonographRecord|Phonograph Record is a type of physical media on which the Learning Resource is delivered or available.||24.00||
25|Photo|Photo|Photo is a type of physical media on which the Learning Resource is delivered or available.||25.00||
26|Podcast|Podcast|Podcast is a type of physical media on which the Learning Resource is delivered or available.||26.00||
27|Printed|Printed|Printed is a type of physical media on which the Learning Resource is delivered or available.||27.00||
28|Radio|Radio|Radio is a type of physical media on which the Learning Resource is delivered or available.||28.00||
29|Robotics|Robotics|Robotics is a type of physical media on which the Learning Resource is delivered or available.||29.00||
30|Satellite|Satellite|Satellite is a type of physical media on which the Learning Resource is delivered or available.||30.00||
31|Slides|Slides|Slides is a type of physical media on which the Learning Resource is delivered or available.||31.00||
32|Television|Television|Television is a type of physical media on which the Learning Resource is delivered or available.||32.00||
33|Transparency|Transparency|Transparency is a type of physical media on which the Learning Resource is delivered or available.||33.00||
34|Video Conference|VideoConference|Video Conference is a type of physical media on which the Learning Resource is delivered or available.||34.00||
35|Videodisc|Videodisc|Videodisc is a type of physical media on which the Learning Resource is delivered or available.||35.00||
