1|TABE|TABE|TABE is the type of literacy test administered.||1.00||
2|CASAS|CASAS|CASAS is the type of literacy test administered.||2.00||
3|BEST|BEST|BEST is the type of literacy test administered.||3.00||
4|BESTPlus|BESTPlus|BESTPlus is the type of literacy test administered.||4.00||
5|BEST Literacy|BESTLiteracy|BEST Literacy is the type of literacy test administered.||5.00||
6|PPVT-III|PPVT-III|PPVT-III is the type of literacy test administered.||6.00||
7|PPVT-IV|PPVT-IV|PPVT-IV is the type of literacy test administered.||7.00||
8|TVIP|TVIP|TVIP is the type of literacy test administered.||8.00||
9|PALS PreK Upper Case|PALSPreKUpperCase|PALS PreK Upper Case is the type of literacy test administered.||9.00||
10|PEP Scale I|PEPScaleI|PEP Scale I is the type of literacy test administered.||10.00||
11|PEP Scale II|PEPScaleII|PEP Scale II is the type of literacy test administered.||11.00||
12|PEP Scale III|PEPScaleIII|PEP Scale III is the type of literacy test administered.||12.00||
13|PEP Scale IV|PEPScaleIV|PEP Scale IV is the type of literacy test administered.||13.00||
14|Other|Other|The type of literacy test administered is in a category not yet defined by CEDS.||14.00||
