62eb9b35-162f-46fe-897e-27058153327d|A person, family, or organization contributing to a resource by shortening or condensing the original work but leaving the nature and content of the original work substantially unchanged. For substantial modifications that result in the creation of a new work, see author|abr|Abridger||
2f445f16-b110-40ad-bd3d-2123162e5757|A performer contributing to an expression of a work by acting as a cast member or player in a musical or dramatic presentation, etc.|act|Actor||
8fd7ef0c-eab1-4f15-9527-19c7a8235402|A person or organization who 1) reworks a musical composition, usually for a different medium, or 2) rewrites novels or stories for motion pictures or other audiovisual medium.|adp|Adapter||
774acb1a-ce04-4b31-91ab-dcfbfff29baa|A person, family, or organization to whom the correspondence in a work is addressed UF Recipient|rcp|Addressee||
f6dc674b-2b60-43a9-9195-835af2155378|A person or organization that reviews, examines and interprets data or information in a specific area|anl|Analyst||
59e5302b-32cb-4bda-a8bc-0b7c30e05ecd|A person contributing to a moving image work or computer program by giving apparent movement to inanimate objects or drawings. For the creator of the drawings that are animated, see artist|anm|Animator||
21881711-2565-46be-8e5a-ae0f416ed0d9|A person who makes manuscript annotations on an item|ann|Annotator||
3c6160c6-92e8-4b0e-b48b-a9e94a1bdd19|A person or organization who appeals a lower court's decision|apl|Appellant||
e62b28a4-e0a1-4c35-bef6-3a3244c17260|A person or organization against whom an appeal is taken|ape|Appellee||
1c0764d8-2905-4027-aa7c-2e6a2e4f6d88|A person or organization responsible for the submission of an application or who is named as eligible for the results of the processing of the application (e.g., bestowing of rights, reward, title, position)|app|Applicant||
4bac30ed-3f4e-4dc5-8d3c-6d4880eb2141|A person, family, or organization responsible for creating an architectural design, including a pictorial representation intended to show how a building, etc., will look when completed. It also oversees the construction of structures|arc|Architect||
2a5b9d93-325c-4ef6-8079-11ca15d8de62|A person, family, or organization contributing to a musical work by rewriting the composition for a medium of performance different from that for which the work was originally intended, or modifying the work for the same medium of performance, etc., such that the musical substance of the original composition remains essentially unchanged. For extensive modification that effectively results in the creation of a new musical work, see composer UF Arranger of music Arranger of music|arr|Arranger||
08d77edd-ceab-4053-b79e-c25ef6bc6b50|||USE Arranger||
fcebf957-e592-41c8-844b-6e4dcf264fce|A person (e.g., a painter or sculptor) who makes copies of works of visual art|acp|Art copyist||
0115867c-2fb2-4dda-b0f0-9f17e4fe6f41|A person contributing to a motion picture or television production by overseeing the artists and craftspeople who build the sets|adi|Art director||
4e51ea8e-5caf-498f-b3e6-7e917736e555|A person, family, or organization responsible for creating a work by conceiving, and implementing, an original graphic design, drawing, painting, etc. For book illustrators, prefer Illustrator|art|Artist||
ac67b0d2-303a-48bd-aafb-fe6ce340ce1a|A person responsible for controlling the development of the artistic style of an entire production, including the choice of works to be presented and selection of senior production staff|ard|Artistic director||
85d61af3-05de-4a4b-b4e4-d1aed3a3fbf0|A person or organization to whom a license for printing or publishing has been transferred|asg|Assignee||
