1|Activity Identifier|000006|||||
2|Course Identifier|000055|||||
3|Course Code System|000056|||||
4|Federal School Code|000111|||||
5|Institution IPEDS UnitID|000166|||||
6|Local Education Agency Supervisory Union Identification Number|000175|||||
7|Office of Postsecondary Education Identifier|000203|||||
8|Program Identifier|000625|||||
9|Adult Education Service Provider Identification System|000781|||||
10|Organization Identification System|000827|||||
11|Course Section Identifier|000978|||||
12|Local Education Agency Identification System|001072|||||
13|School Identification System|001073|||||
14|Agency Course Identifier|001280|||||
15|Course Section Number|001315|||||
16|State Agency Identification System|001491|||||
