1|Advanced Placement Course Self Selection|AP Course Self Selection||||||
2|Persistently Lowest Achieving School|PersistentlyLowestAchievingSchool||||||
3|Shared Time|SharedTime||||||
4|Ability Grouping|AbilityGrouping||||||
5|Program Provides Translated Materials|ProgramProvidesTranslatedMaterials||||||
6|Early Learning Program Developmental Screening|EarlyLearningProgramDevelopmentalScreening||||||
7|Program Provides Written Handbook|ProgramProvidesWrittenHandbook||||||
8|Program Collects Parental Feedback|ProgramCollectsParentalFeedback||||||
9|Program Provides Parent Involvement Opportunity|ProgramProvidesParentInvolvementOpportunity||||||
10|Program Provides Parent Education|ProgramProvidesParentEducation||||||
11|Assessment Shared with Parents|AssessmentSharedwithParents||||||
12|Program Follows Salary Scale|ProgramFollowsSalaryScale||||||
13|Differential Shift Pay|DifferentialShiftPay||||||
14|Virtual|Virtual||||||
