1|College Course|CollegeCourse|The type of professional development activity is a College Course.||2.00||
2|Coaching|Coaching|The type of professional development activity is Coaching.||6.00||
3|Mentoring|Mentoring|The type of professional development activity is Mentoring.||8.00||
4|Consultation|Consultation|The type of professional development activity is Consultation.||10.00||
5|Person-to-Person|P2P|The type of professional development activity is Person-to-Person.||12.00||
6|Technical Assistance|TechnicalAssistance|The type of professional development activity is Technical Assistance.||14.00||
7|Advisement|Advisement|The type of professional development activity is Advisement.||16.00||
8|One-time Workshop Training|OneTimeWorkshopTraining|The type of professional development activity is One-time Workshop Training.||18.00||
9|Series of Workshops Training|SeriesOfWorkshopsTraining|The type of professional development activity is Series of Workshops Training.||19.00||
10|Other|Other|The type of professional development activity is in a category not yet defined by CEDS.||20.00||
