1|Broadcast|Broadcast|The primary setting or medium of the professional development delivery is Broadcast.||2.00||
2|Correspondence|Correspondence|The primary setting or medium of the professional development delivery is Correspondence.||4.00||
3|Early College|EarlyCollege|The primary setting or medium of the professional development delivery is Early College.||6.00||
4|Interactive Audio/Video|AudioVideo|The primary setting or medium of the professional development delivery is Interactive Audio/Video.||8.00||
5|Conference|Conference|The primary setting or medium of the professional development delivery is Conference.||10.00||
6|Online|Online|The primary setting or medium of the professional development delivery is Online.||12.00||
7|Independent Study|IndependentStudy|The primary setting or medium of the professional development delivery is Independent Study.||14.00||
8|Face To Face|FaceToFace|The primary setting or medium of the professional development delivery is Face To Face.||16.00||
9|Blended Learning|BlendedLearning|The primary setting or medium of the professional development delivery is Blended Learning.||18.00||
10|Other|Other|The primary setting or medium of the professional development delivery is in a category not yet defined in CEDS.||20.00||
