1|Athletic coach|04723|Athletic coach||1.00||
2|Behavioral management specialist|04724|Behavioral management specialist||2.00||
3|Counselor|04725|Counselor||3.00||
4|Curriculum specialist|04726|Curriculum specialist||4.00||
5|Education diagnostician|04727|Education diagnostician||5.00||
6|Librarian/media consultant|04728|Librarian/media consultant||6.00||
7|Remedial specialist|04729|Remedial specialist||7.00||
8|Student activity advisor/non athletic coach|04730|Student activity advisor/non athletic coach||8.00||
9|Student teacher|04731|Student teacher||9.00||
10|Teacher|04732|Teacher||10.00||
11|Teacher trainer|04733|Teacher trainer||11.00||
12|Teaching intern|04734|Teaching intern||12.00||
13|Resource teacher|04735|Resource teacher||13.00||
14|Other|09999|Other||14.00||
