1|Business|Business|A business is providing funds for a particular educational or service program or activity or for an individual's participation in the program or activity.||1.00||
2|Education organization network|EducationOrganizationNetwork|An education organization network is providing funds for a particular educational or service program or activity or for an individual's participation in the program or activity.||2.00||
3|Education Service Center|EducationServiceCenter|An education Service Center is providing funds for a particular educational or service program or activity or for an individual's participation in the program or activity.||3.00||
4|Federal government|Federal|The federal government is providing funds for a particular educational or service program or activity or for an individual's participation in the program or activity.||4.00||
5|Local education agency|LEA|The local education agency is providing funds for a particular educational or service program or activity or for an individual's participation in the program or activity.||5.00||
6|Non-profit organization|NonProfit|A non-profit organization is providing funds for a particular educational or service program or activity or for an individual's participation in the program or activity.||7.00||
7|Postsecondary institution|Postsecondary|A postsecondary institution is providing funds for a particular educational or service program or activity or for an individual's participation in the program or activity.||9.00||
8|Private organization|Private|A private organization is providing funds for a particular educational or service program or activity or for an individual's participation in the program or activity.||11.00||
9|Regional or intermediate education agency|Regional|A regional or intermediate education agency is providing funds for a particular educational or service program or activity or for an individual's participation in the program or activity.||13.00||
10|Religious organization|Religious|A religious organization is providing funds for a particular educational or service program or activity or for an individual's participation in the program or activity.||15.00||
11|School|School|The school is providing funds for a particular educational or service program or activity or for an individual's participation in the program or activity.||17.00||
12|State Education Agency|SEA|The State Education Agency is providing funds for a particular educational or service program or activity or for an individual's participation in the program or activity.||19.00||
13|Other|Other|The category of organization providing funds for the particular educational or service program or activity or for an individual's participation in the program or activity is not yet defined in CEDS.||21.00||
