1|AE Staff|AEStaff|A person for whom instruction and/or services are provided in an Adult Education program.||1.00||
2|AE Student|AEStudent|An individual who performs specified activities for any public or private education institution, agency, or household that provides instructional and/or support services to students or staff in a Career and Technical Education program.||2.00||
3|CTE Staff|CTEStaff|A person for whom instruction, services, and/or care are provided in a Career and Technical Education program and who has met the state-defined threshold of Career and Technical Education participation.||3.00||
4|CTE Student|CTEStudent|An individual who is an applicant of a postsecondary institution.||4.00||
5|EL Child|ELChild|A person for whom instruction, services, and/or care are provided in an early childhood program under the jurisdiction of a school, education agency, or other institution or program.||5.00||
6|EL Staff|ELStaff|A person who performs specified activities for a public or private education institution, agency, or household that provides instructional and/or support services to students or staff at the early childhood level.||6.00||
7|K12 Staff|K12Staff|An individual who performs specified activities for any public or private education institution, agency, or household that provides instructional and/or support services to students or staff at the early childhood level through high school completion.||7.00||
8|K12 Student|K12Student|A person for whom instruction, services, and/or care are provided in an elementary or secondary educational program under the jurisdiction of a school, education agency, or other institution or program.||8.00||
9|Parent/Guardian|ParentGuardian|A person having parental or legal guardianship responsibility for a learner.||9.00||
10|PS Applicant|PSApplicant|A person who performs specified activities for any public or private education institution, agency, or household that provides instructional and/or support services to students or staff at the postsecondary level.||10.00||
11|PS Staff|PSStaff|An individual who is a prospect, applicant, admitted student, enrolled student, or alum of a postsecondary institution.||11.00||
12|PS Student|PSStudent|||12.00||
13|Workforce Program Participant|WorkforceProgramParticipant|A person who is employed by an Adult Education program.||13.00||
