1|Newborn well child visit|Newborn|Newborn well child visit.||1.00||
2|3 to 5 days well child visit|3To5Days|3 to 5 days well child visit.||3.00||
3|1 month well child visit|1Month|1 month well child visit.||5.00||
4|2 months well child visit|2Months|2 months well child visit.||7.00||
5|4 months well child visit|4Months|4 months well child visit.||9.00||
6|6 months well child visit|6Months|6 months well child visit.||11.00||
7|9 months well child visit|9Months|9 months well child visit.||13.00||
8|12 months well child visit|12Months|12 months well child visit.||15.00||
9|15 months well child visit|15Months|15 months well child visit.||17.00||
10|18 months well child visit|18Months|18 months well child visit.||19.00||
11|24 months well child visit|24Months|24 months well child visit.||21.00||
12|30 months well child visit|30Months|30 months well child visit.||23.00||
13|36 months well child visit|36Months|36 months well child visit.||25.00||
14|48 months well child visit|48Months|48 months well child visit.||27.00||
15|60 months well child visit|60Months|60 months well child visit.||29.00||
