1|Alaska|AK|Alaska||1.00||
2|Alabama|AL|Alabama||2.00||
3|Arkansas|AR|Arkansas||3.00||
4|American Samoa|AS|American Samoa||4.00||
5|Arizona|AZ|Arizona||5.00||
6|California|CA|California||6.00||
7|Colorado|CO|Colorado||7.00||
8|Connecticut|CT|Connecticut||8.00||
9|District of Columbia|DC|District of Columbia||9.00||
10|Delaware|DE|Delaware||10.00||
11|Florida|FL|Florida||11.00||
12|Federated States of Micronesia|FM|Federated States of Micronesia||12.00||
13|Georgia|GA|Georgia||13.00||
14|Guam|GU|Guam||14.00||
15|Hawaii|HI|Hawaii||15.00||
16|Iowa|IA|Iowa||16.00||
17|Idaho|ID|Idaho||17.00||
18|Illinois|IL|Illinois||18.00||
19|Indiana|IN|Indiana||19.00||
20|Kansas|KS|Kansas||20.00||
21|Kentucky|KY|Kentucky||21.00||
22|Louisiana|LA|Louisiana||22.00||
23|Massachusetts|MA|Massachusetts||23.00||
24|Maryland|MD|Maryland||24.00||
25|Maine|ME|Maine||25.00||
26|Marshall Islands|MH|Marshall Islands||26.00||
27|Michigan|MI|Michigan||27.00||
28|Minnesota|MN|Minnesota||28.00||
29|Missouri|MO|Missouri||29.00||
30|Northern Marianas|MP|Northern Marianas||30.00||
31|Mississippi|MS|Mississippi||31.00||
32|Montana|MT|Montana||32.00||
33|North Carolina|NC|North Carolina||33.00||
34|North Dakota|ND|North Dakota||34.00||
35|Nebraska|NE|Nebraska||35.00||
36|New Hampshire|NH|New Hampshire||36.00||
37|New Jersey|NJ|New Jersey||37.00||
38|New Mexico|NM|New Mexico||38.00||
39|Nevada|NV|Nevada||39.00||
40|New York|NY|New York||40.00||
41|Ohio|OH|Ohio||41.00||
42|Oklahoma|OK|Oklahoma||42.00||
43|Oregon|OR|Oregon||43.00||
44|Pennsylvania|PA|Pennsylvania||44.00||
45|Puerto Rico|PR|Puerto Rico||45.00||
46|Palau|PW|Palau||46.00||
47|Rhode Island|RI|Rhode Island||47.00||
48|South Carolina|SC|South Carolina||48.00||
49|South Dakota|SD|South Dakota||49.00||
50|Tennessee|TN|Tennessee||50.00||
51|Texas|TX|Texas||51.00||
52|Utah|UT|Utah||52.00||
53|Virginia|VA|Virginia||53.00||
54|Virgin Islands|VI|Virgin Islands||54.00||
55|Vermont|VT|Vermont||55.00||
56|Washington|WA|Washington||56.00||
57|Wisconsin|WI|Wisconsin||57.00||
58|West Virginia|WV|West Virginia||58.00||
59|Wyoming|WY|Wyoming||59.00||
60|Armed Forces America|AA|Armed Forces America||90.00||
61|Armed Forces Africa, Canada, Europe, and Mideast|AE|Armed Forces Africa, Canada, Europe, and Mideast||91.00||
62|Armed Forces Pacific|AP|Armed Forces Pacific||92.00||
