1|01|Alabama|||1.00||
2|02|Alaska|||2.00||
3|04|Arizona|||4.00||
4|05|Arkansas|||5.00||
5|06|California|||6.00||
6|08|Colorado|||8.00||
7|09|Connecticut|||9.00||
8|10|Delaware|||10.00||
9|11|District of Columbia|||11.00||
10|12|Florida|||12.00||
11|13|Georgia|||13.00||
12|15|Hawaii|||15.00||
13|16|Idaho|||16.00||
14|17|Illinois|||17.00||
15|18|Indiana|||18.00||
16|19|Iowa|||19.00||
17|20|Kansas |||20.00||
18|21|Kentucky|||21.00||
19|22|Louisiana|||22.00||
20|23|Maine|||23.00||
21|24|Maryland|||24.00||
22|25|Massachusetts|||25.00||
23|26|Michigan|||26.00||
24|27|Minnesota|||27.00||
25|28|Mississippi|||28.00||
26|29|Missouri|||29.00||
27|30|Montana|||30.00||
28|31|Nebraska|||31.00||
29|32|Nevada|||32.00||
30|33|New Hampshire|||33.00||
31|34|New Jersey|||34.00||
32|35|New Mexico|||35.00||
33|36|New York|||36.00||
34|37|North Carolina|||37.00||
35|38|North Dakota|||38.00||
36|39|Ohio|||39.00||
37|40|Oklahoma|||40.00||
38|41|Oregon|||41.00||
39|42|Pennsylvania|||42.00||
40|44|Rhode Island|||44.00||
41|45|South Carolina|||45.00||
42|46|South Dakota|||46.00||
43|47|Tennessee|||47.00||
44|48|Texas|||48.00||
45|49|Utah|||49.00||
46|50|Vermont|||50.00||
47|51|Virginia|||51.00||
48|53|Washington|||53.00||
49|54|West Virginia|||54.00||
50|55|Wisconsin|||55.00||
51|56|Wyoming|||56.00||
52|60|American Samoa|||60.00||
53|64|Federated States of Micronesia|||64.00||
54|66|Guam|||66.00||
55|68|Marshall Islands|||68.00||
56|69|Northern Mariana Islands|||69.00||
57|70|Palau |||70.00||
58|72|Puerto Rico|||72.00||
59|78|Virgin Islands of the U.S.|||78.00||
