1|Adaptive physical education|00290|Programs designed to foster the development of the following physical activities: physical and motor fitness: fundamental motor skills and patterns; skills in aquatics and dance, including individual and group games; and sports (including intramural and lifetime sports). This term also includes special physical education, adapted physical education, movement education, and motor development.||1.00||
2|Art therapy|00291|Programs that enable individuals who have mental, emotional, social, or physical problems to achieve self-expression and emotional release by communicating their emotions and conflicts graphically through painting, drawing, sculpting or other art forms. Art therapy can be used as diagnostic tool or a treatment technique.||2.00||
3|Assistive technology services|00292|Programs that directly assist an individual with disabilities in the selection, acquisition, or use of an assistive technology device. Such assistance includes: 1) the evaluation of the needs of an individual, including a functional evaluation of the individual in his or her customary environment; 2) purchasing, leasing, or otherwise providing for the acquisition of assistive technology devices; 3) selecting, designing, fitting, customizing, adopting, applying, maintaining, repairing, or replacing assistive technology devices; 4) coordinating and using other therapies, interventions, or services (e.g., those associated with existing education and rehabilitation plans and programs); 5) training and technical assistance for an individual or, if appropriate, an individuals' family members; and 6) training or technical assistance for professionals (including those providing early intervention services), employers, or other individuals who are substantially involved.||3.00||
4|Audiological services|00293|Services that include: 1)identification of individuals with hearing loss: 2) determination of the range, nature, and degree of hearing loss, and communication functions, by use of audiological evaluation, and speech conservation; 4) creation and administration of programs for prevention of hearing loss; 5) counseling and guidance of students, parent/guardians, and teachers regarding hearing loss; and 6) determination of an individual's need for group and individual amplification, selecting and fitting an appropriate aid, and evaluating the effectiveness of amplification.||4.00||
5|Augmentative Communication Service|73050|Augmentative Communication Service is provided to the person or a group of persons.||5.00||
6|Autism Spectrum Disorder Service|73051|Autism Spectrum Disorder Service is provided to the person or a group of persons.||6.00||
7|Behavior and Behavioral Consultation Service|73052|Behavior and Behavioral Consultation Service is provided to the person or a group of persons.||7.00||
8|Braille Service|73053|Braille Service is provided to the person or a group of persons.||8.00||
9|Career and technical education rehabilitation training and job placement|00889|Programs that provide adaptive career and technical education training as a method of rehabilitating students with special needs, including those with disabilities. Program support continues beyond the rehabilitation and training phases, and includes job placement services.||9.00||
10|Case management services|00878|Programs that develop case plans for the evaluation, treatment and/or care of individuals who, because of age, illness, disability or other difficulties, are unable to arrange for services on their own behalf. The services also assess the individual's needs, coordinate the delivery of services, ensure that services are obtained in accordance with the case plan, and monitor progress to ensure that services are having a desired impact.||10.00||
11|Children's protective services|00295|Programs that investigate reports of child abuse, neglect, and abandonment, and provide for the temporary placement of a child who, for his or her own protection, has been removed from custody of his or her parent/guardians. Program staff works with families that are experiencing the problem of child abuse with the objective of facilitating continued family unification or reunification. These programs also provide ongoing support services for children in permanent placement.||11.00||
12|Communication services|00881|Programs that help participants develop or refine their communication skills, usually by focusing on communication in a particular context (e.g., helping a parent/guardian communicate with a child or helping professionals communicate with their clients). Training may emphasize active listening skills, problem-solving skills, conflict resolution techniques, body language, empathy, sensitivity to the values and/or cultural background of other, genuineness and other facets of the communication process.||12.00||
13|Community based career training|73057|Career education and training provided to all students in community work settings.||13.00||
14|Community based career training for Special Education|73056|Career education and training provided specifically to students with disabilities in community work settings.||14.00||
15|Community recreational services|00882|Programs that provide equipment and facilities that ensure individuals with special needs can participate in specific recreational activities, games, or sports of their choice, regardless of age.||15.00||
16|Curriculum planning|73048|Curriculum planning is provided to the person or a group of persons.||16.00||
17|Developmental childcare program|00334|An organized program that provides childcare services on a regular basis for a group of children; the program is directed toward the facilitation of several developmental areas.||17.00||
18|Early Intervention / Early Childhood Special Education Special Service|73047|The design of learning environments and activities that promote the child's acquisition of skills in a variety of developmental areas, include cognitive processes and social interaction. ||18.00||
19|Early intervention services|00297|A program which provides services that: 1) are designed to meet the development needs of each child and family eligible, and are focused on enhancing the child's development; 2) are selected in collaboration with the parent/guardian; 3) are provided under public supervision by qualified personnel, in conformity with an individualized family service plan; 4) are offered at no cost unless subject to federal or state law mandating a system of payments (including a schedule of sliding fees); and 5) meet the standards of the state.||19.00||
20|Educational therapy|00298|Programs that provide diagnostic and treatment services which combine psychotherapeutic and tutorial techniques for individuals who have learning disabilities such as dyslexia, perceptual problems, emotional problems or other difficulties.||20.00||
21|ESL/Migrant Service|73054|ESL/Migrant Service is provided to the person or a group of persons.||21.00||
