1|Absentee-Shawnee Tribe of Indians of Oklahoma|AbsenteeShawneeTribeofIndiansofOklahoma|Absentee-Shawnee Tribe of Indians of Oklahoma is the Native American tribal entity recognized and eligible to receive services from the United States Bureau of Indian Affairs to which a person is affiliated.||1.00||
2|Agdaagux Tribe of King Cove|AgdaaguxTribeofKingCove|Agdaagux Tribe of King Cove is the Native American tribal entity recognized and eligible to receive services from the United States Bureau of Indian Affairs to which a person is affiliated.||2.00||
3|Agua Caliente Band of Cahuilla Indians of the Agua Caliente Indian Reservation, California|AguaCalienteBandofCahuillaIndiansoftheAgua|Agua Caliente Band of Cahuilla Indians of the Agua Caliente Indian Reservation, California is the Native American tribal entity recognized and eligible to receive services from the United States Bureau of Indian Affairs to which a person is affiliated.||3.00||
4|Ak-Chin Indian Community|AkChinIndianCommunity|Ak-Chin Indian Community (previously listed as Ak Chin Indian Community of the Maricopa (Ak Chin) Indian Reservation, Arizona) is the Native American tribal entity recognized and eligible to receive services from the United States Bureau of Indian Affairs to which a person is affiliated.||4.00||
5|Akiachak Native Community|AkiachakNativeCommunity|Akiachak Native Community is the Native American tribal entity recognized and eligible to receive services from the United States Bureau of Indian Affairs to which a person is affiliated.||5.00||
6|Akiak Native Community|AkiakNativeCommunity|Akiak Native Community is the Native American tribal entity recognized and eligible to receive services from the United States Bureau of Indian Affairs to which a person is affiliated.||6.00||
7|Alabama-Coushatta Tribe of Texas|AlabamaCoushattaTribeofTexas|Alabama-Coushatta Tribe of Texas (previously listed as Alabama Coushatta Tribes of Texas) is the Native American tribal entity recognized and eligible to receive services from the United States Bureau of Indian Affairs to which a person is affiliated.||7.00||
8|Alabama-Quassarte Tribal Town|AlabamaQuassarteTribalTown|Alabama-Quassarte Tribal Town is the Native American tribal entity recognized and eligible to receive services from the United States Bureau of Indian Affairs to which a person is affiliated.||8.00||
9|Alatna Village|AlatnaVillage|Alatna Village is the Native American tribal entity recognized and eligible to receive services from the United States Bureau of Indian Affairs to which a person is affiliated.||9.00||
10|Algaaciq Native Village|AlgaaciqNativeVillage|Algaaciq Native Village (St. Mary's) is the Native American tribal entity recognized and eligible to receive services from the United States Bureau of Indian Affairs to which a person is affiliated.||10.00||
11|Allakaket Village|AllakaketVillage|Allakaket Village is the Native American tribal entity recognized and eligible to receive services from the United States Bureau of Indian Affairs to which a person is affiliated.||11.00||
12|Alturas Indian Rancheria, California|AlturasIndianRancheriaCalifornia|Alturas Indian Rancheria, California is the Native American tribal entity recognized and eligible to receive services from the United States Bureau of Indian Affairs to which a person is affiliated.||12.00||
13|Alutiiq Tribe of Old Harbor|AlutiiqTribeofOldHarbor|Alutiiq Tribe of Old Harbor (previously listed as Native Village of Old Harbor and Village of Old Harbor) is the Native American tribal entity recognized and eligible to receive services from the United States Bureau of Indian Affairs to which a person is affiliated.||13.00||
