1|Cultural barriers|805|The participant has a perception of him-or herself as possessing attitudes, beliefs, customs, or practices that influence a way of thinking, acting, or working that may serve as a hindrance to employment.||1.00||
2|Displaced homemaker|807|The participant has been providing unpaid services to family members in the home and (a) has been dependent on the income of another family member but is no longer supported by that income; (b) is the dependent spouse of a member of the armed forces on active duty whose family income is significantly reduced because of (i) a deployment or a call or order to active duty pursuant to a provision of law, (ii) a permanent change of station, or (iii) the service-connected death or disability of the member; and (c) is unemployed or underemployed and is experiencing difficulty in obtaining or upgrading employment.||2.00||
3|English language learner|803|The participant has limited ability in speaking, reading, writing, or understanding the English language that may serve as a hindrance to employment.||3.00||
4|Exhausting Temporary Assistance for Needy Families (TANF) within 2 years|601|The participant is within 2 years of exhausting lifetime eligibility under Part A of Title IV of the Social Security Act (42 U.S.C. 601 et seq.), regardless of whether he or she is receiving these benefits at program entry.||4.00||
5|Ex-offender|801|The participant is a person who either (a) has been subject to any stage of the criminal justice process for committing a status offense or delinquent act, or (b) requires assistance in overcoming barriers to employment resulting from a record of arrest or conviction.||5.00||
6|Homeless or runaway youth|800|The participant lacks a fixed, regular, and adequate nighttime residence; has a primary nighttime residence that is a public or private place not designed for or ordinarily used as a regular sleeping accommodation for human beings; is a migratory child who in the preceding 36 months was required to move from one school district to another due to changes in the parent's or parent's spouse's seasonal employment in agriculture, dairy, or fishing work; or is under 18 years of age and absents himself or herself from home or place of legal residence without the permission of his or her family (i.e., runaway youth). However, a participant who may be sleeping in a temporary accommodation while away from home should not, as a result of that fact alone, be recorded as homeless.||6.00||
7|Individual with disabilities|202|The participant indicates that he or she has a disability, defined as a physical or mental impairment, that substantially limits one or more of the person's major life activities, as defined under the Americans with Disabilities Act of 1990.||7.00||
8|Long-term unemployed|402|The participant has been unemployed for 27 or more consecutive weeks.||8.00||
9|Low literacy level|804|The participant has an inability to compute and solve problems or read, write, or speak English at a level necessary to function on the job, in the participant's family, or in society, which may serve as a hindrance to employment.||9.00||
10|Low-income|802|The participant (a) receives, or in the 6 months prior to application to the program has received, or is a member of a family that is receiving in the past 6 months assistance through the Supplemental Nutrition Assistance Program (SNAP), the TANF program, the Supplemental Security Income (SSI) program, or State or local income-based public assistance; (b) is in a family with total family income that does not exceed the higher of the poverty line or 70% of the lower living standard income level; (c) is a youth who receives, or is eligible to receive, a free or reduced-price lunch; (d) is a foster child on behalf of whom State or local government payments are made; (e) is a participant with a disability whose own income is the poverty line but who is a member of a family whose income does not meet this requirement; (f) is a homeless participant or homeless child or youth or runaway youth; or (g) is a youth living in a high-poverty area.||10.00||
11|Migrant and seasonal farmworker|808|The participant is a low-income individual who for 12 consecutive months out of the 24 months prior to application for the program involved has been primarily employed in agriculture or fish farming labor that is characterized by chronic unemployment or underemployment, and faces multiple barriers to economic self-sufficiency.||11.00||
12|Single parent|806|The participant is a single, separated, divorced, or widowed individual who has primary responsibility for one or more dependent children under age 18 (including single pregnant women).||12.00||
13|Youth in foster care or who has aged out of system|704|The participant is a person who is currently in foster care or has aged out of the foster care system.||13.00||
